IndPop,Pop,Loc,Egg_env,Sal,Used? ,Eggs,Hatched,Date_Coll,Date_hatch,Mass_Parent1,SVL_parent1,Mass_parent2,SVL_parent2,diff_wt,photo,
WHF,WHF,inland,0,0.23,Y,1534,451,24-May,29-May,,,,,,DSC_6885,
WHF,WHF,inland,4,3.96,Y,826,467,24-May,29-May,,,,,,DSC_6894,
LOWES,LOWES,inland,6,6.28,N,1217,10,24-May,29-May,,,,,,DSC_6917,
LOWES,LOWES,inland,4,4.27,N,425,157,24-May,29-May,,,,,,DSC_6901,Still laying eggs when collected
LOWES,LOWES,inland,2,2.39,N,973,814,24-May,29-May,,,,,,DSC_6924,
LOWES,LOWES,inland,0,0.3,N,1210,956,24-May,29-May,,,,,,DSC_6908,
PWL,PWL,inland,0,0.25,Y,766,664,6-Jun,12-Jun,3.47,42.97,3.01,38.52,0.46,DSC_6930,
PWL,PWL,inland,4,4.35,Y,949,920,6-Jun,12-Jun,6.17,50.89,4.1,42.97,2.07,DSC_6934,may want to reanalyze
CSI,CSI,coastal,2,2.09,N,554,553,20-Jun,25-Jun,2.92,38.5,2.76,40.5,0.16,DSC_6972,
CSI,CSI,coastal,6,5.68,N,227,1,20-Jun,25-Jun,2.9,39.39,,,,DSC_6963,sdult got away
CSI,CSI,coastal,0,0.16,Y,508,504,20-Jun,25-Jun,3,38.39,2.8,42,0.2,DSC_6970,
LOWES,LOWES,inland,4,4.5,N,650,NA,20-Jun,25-Jun,5.23,50.39,5.8,48.14,0.57,DSC_6952,
CSI,CSI,coastal,4,4.12,Y,867,603,20-Jun,25-Jun,2.86,40.5,3.74,44.5,0.88,DSC_6956,
LOWES,LOWES,inland,6,6,N,1043,0,22-Jun,27-Jun,10.9,52.18,6.6,44.09,4.3,DSC_7010,
LOWES,LOWES,inland,4,4.16,N,896,375,22-Jun,27-Jun,10.76,58.65,7.2,49.2,3.56,DSC_7017,
LOWES,LOWES,inland,2,2.23,N,689,686,22-Jun,27-Jun,8.2,51.75,7.03,41.8,1.17,DSC_7023,No FW apparently
LOWES,LOWES,inland,0,0,N,692,642,25-Jun,29-Jun,4.51,41.43,4.61,42.64,0.1,DSC_7048,
LOWES,LOWES,inland,0,0,N,583,473,25-Jun,29-Jun,3.9,45.38,5.4,45.4,1.5,DSC_7054,
MANTEO,MANTEO,coastal,4,4.26,N,579,313,26-Jun,30-Jun,2.67,35.78,4.21,47.22,1.54,DSC_7090,"FW canot be counted - too muddy, none hatched"
MANTEO,MANTEO,coastal,6,5.76,N,647,27,26-Jun,30-Jun,4.03,44.56,3.96,49.5,0.07,DSC_7083,
BODIE2,BODIE,coastal,4,3.95,N,896,834,3-Jul,30-Jun,2.68,39.8,3.5,56.64,0.82,DSC_7208,
BODIE9,BODIE,coastal,0,0.2,N,873,839,3-Jul,30-Jun,3.3,49.96,3.5,51.6,0.2,DSC_7214,
BODIE3,BODIE,coastal,2,1.91,N,1613,1396,3-Jul,30-Jun,3.7,41.75,2.5,46.6,1.2,DSC_7215,
BODIE5,BODIE,coastal,6,6.06,N,283,0,3-Jul,30-Jun,3.1,46.26,2.5,42.7,0.6,DSC_7222,
BODIE1,BODIE,coastal,4,4.04,Y,1343,744,3-Jul,30-Jun,3.44,49.9,3.8,35.21,0.36,DSC_7225,
BODIE6,BODIE,coastal,6,6.23,N,1225,6,3-Jul,30-Jun,3.7,43.85,2.5,42.13,1.2,DSC_7232,Estimate since they are clumped
BODIE4,BODIE,coastal,4,3.96,Y,1215,1068,3-Jul,30-Jun,3.9,50.8,4.2,44.28,0.3,DSC_7235, 
BODIE10,BODIE,coastal,0,0.22,Y,1155,1150,3-Jul,30-Jun,3.3,44.79,4.2,42.85,0.9,DSC_7241,
BODIE8,BODIE,coastal,2,2.4,N,1168,1129,3-Jul,30-Jun,3.7,41.82,3.6,46.9,0.1,DSC_7244,
BODIE7,BODIE,coastal,0,0.27,Y,1346,1339,3-Jul,30-Jun,2.8,39.45,3.4,42.18,0.6,DSC_7248,
LOWES,LOWES,inland,4,4.09,N,1207,NA,4-Jul,8-Jul,6.3,47.18,8.32,56.4,2.02,DSC_7263,fungus
LOWES,LOWES,inland,0,0.19,N,880,356,4-Jul,8-Jul,3.57,42.46,3.95,40.68,0.38,DSC_7271,
LOWES,LOWES,inland,6,6.05,N,805,0,4-Jul,8-Jul,5.3,47.84,6.85,53.85,1.55,DSC_7264,
BELLAMY,BELLAMY,inland,2,2.33,N,1226,780,6-Jul,8-Jul,8.19,49,5.74,46,2.45,DSC_7277,C
BELLAMY,BELLAMY,inland,6,5.76,N,1227,0,6-Jul,8-Jul,5.1,49,6.7,50,1.6,DSC_7283,D
BELLAMY,BELLAMY,inland,0,0.23,N,2189,1770,6-Jul,8-Jul,7.1,55.5,3.5,44.5,3.6,DSC_7289,A
BELLAMY,BELLAMY,inland,4,4.07,N,1992,NA,6-Jul,8-Jul,4.19,48,7.05,47,2.86,DSC_7301,fungus
GOLF2,GOLF,coastal,4,4.38,N,786,621,11-Jul,14-Jul,3.2,41,4.6,43,1.4,DSC_7306,
GOLF2,GOLF,coastal,0,0.3,N,767,NA,11-Jul,14-Jul,3.8,44,3,39,0.8,DSC_7314,fungus
GOLF1,GOLF,coastal,4,4.06,N,246,212,11-Jul,14-Jul,2.6,36,1.2,31,1.4,DSC_7320,
GOLF1,GOLF,coastal,0,0.1,N,297,269,11-Jul,14-Jul,3.2,35,2.4,34,0.8,DSC_7325,
DQ,DQ,coastal,4,3.98,Y,2364,1670,11-Jul,14-Jul,4.5,43,4.3,45,0.2,DSC_7340,
DQ,DQ,coastal,0,0.03,Y,3034,1706,11-Jul,14-Jul,4.7,43,,,,DSC_7333,one got away
BELLAMY,BELLAMY,inland,4,3.94,Y,812,802,17-Jul,20-Jul,4.9,46,4.2,42,0.7,DSC_7362,*check photo of eggs 
BELLAMY,BELLAMY,inland,0,0.2,Y,1810,1671,17-Jul,20-Jul,5.4,48,4.5,43,0.9,DSC_7367,
LOWES,LOWES,inland,4,4,Y,404,389,17-Jul,20-Jul,4.6,44,2.14,39,2.46,DSC_7378,
LOWES,LOWES,inland,0,0.1,Y,958,952,17-Jul,20-Jul,5.24,44,5.5,50,0.26,DSC_7383,
