Date,Pop,Loc,EggEnv,TadEnv,Cup,Individual,Salinity,Stage,WetWt,DryWt,Length,Osmo,Notes
6/8/17,WHF,Inland,0,0,1,1,0.3,25,0.0166,0.0007,10.3,290,
6/8/17,WHF,Inland,0,0,1,2,0.3,25,0.0131,0.0005,7.38,282,
6/8/17,WHF,Inland,0,0,1,3,0.3,25,0.0176,0.0009,10.62,281,
6/8/17,WHF,Inland,0,0,1,4,0.3,25,0.0115,0.0006,8.65,279,
6/8/17,WHF,Inland,0,0,1,5,0.3,25,0.015,0.001,7.37,278,
6/8/17,WHF,Inland,4,0,2,1,0.25,25,0.0198,0.0009,10.94,288,
6/8/17,WHF,Inland,4,0,2,2,0.25,25,0.0184,0.0007,10.36,288,
6/8/17,WHF,Inland,4,0,2,3,0.25,25,0.016,0.0007,9.46,300,
6/8/17,WHF,Inland,4,0,2,4,0.25,25,0.0174,0.0004,,285,broken tail
6/8/17,WHF,Inland,4,0,2,5,0.25,25,0.0176,0.0018,10.42,305,
6/8/17,WHF,Inland,0,4,3,1,4.4,25,0.0121,0.0008,10.35,306,
6/8/17,WHF,Inland,0,4,3,2,4.4,25,0.0105,0.0003,9.91,297,
6/8/17,WHF,Inland,0,4,3,3,4.4,25,0.0104,0.0009,9.82,317,
6/8/17,WHF,Inland,0,4,3,4,4.4,25,0.0085,0.0007,8.72,295,
6/8/17,WHF,Inland,0,4,3,5,4.4,25,0.0105,0.0007,9.44,287,
6/8/17,WHF,Inland,4,4,4,1,4.25,25,0.021,0.0012,11.31,310,
6/8/17,WHF,Inland,4,4,4,2,4.25,25,0.0123,0.0005,10.35,317,
6/8/17,WHF,Inland,4,4,4,3,4.25,25,0.0242,0.0012,11.97,323,
6/8/17,WHF,Inland,4,4,4,4,4.25,25,0.024,,12.79,312,error
6/8/17,WHF,Inland,4,4,4,5,4.25,25,0.0216,0.0008,10.86,313,
6/8/17,WHF,Inland,0,6,5,1,6.93,25,0.0146,0.0013,10.26,317,
6/8/17,WHF,Inland,0,6,5,2,6.93,25,0.0103,0.0007,9.49,320,
6/8/17,WHF,Inland,0,6,5,3,6.93,25,0.0147,0.0005,10.77,299,
6/8/17,WHF,Inland,0,6,5,4,6.93,25,0.0149,0.0013,10.96,323,
6/8/17,WHF,Inland,0,6,5,5,6.93,25,0.0111,0.0007,9.57,249,
6/8/17,WHF,Inland,4,6,6,1,7.03,25,0.0157,0.0005,9.77,322,
6/8/17,WHF,Inland,4,6,6,2,7.03,25,0.0153,0.0005,10.01,331,
6/8/17,WHF,Inland,4,6,6,3,7.03,25,0.0165,0.0008,7.51,334,
6/8/17,WHF,Inland,4,6,6,4,7.03,25,0.016,0.0009,9.5,324,
6/8/17,WHF,Inland,4,6,6,5,7.03,25,0.0117,0.0006,8.91,332,
6/8/17,WHF,Inland,0,8,7,1,9.13,25,0.0077,0.0005,,345,broken tail
6/8/17,WHF,Inland,0,8,7,2,9.13,25,0.0104,0.0006,8.54,336,
6/8/17,WHF,Inland,0,8,7,3,9.13,25,0.0105,,9.26,364,error
6/8/17,WHF,Inland,0,8,7,4,9.13,25,0.009,0.0006,9.46,347,
6/8/17,WHF,Inland,0,8,7,5,9.13,25,0.0123,0.0007,10.33,342,
6/8/17,WHF,Inland,4,8,8,1,9.35,25,0.0118,0.0008,9.01,374,
6/8/17,WHF,Inland,4,8,8,2,9.35,25,0.0142,0.0007,10.41,378,
6/8/17,WHF,Inland,4,8,8,3,9.35,25,0.0124,0.0004,9.69,391,
6/8/17,WHF,Inland,4,8,8,4,9.35,25,0.011,0.0006,8.07,355,
6/8/17,WHF,Inland,4,8,8,5,9.35,25,0.0149,0.0008,7.58,377,
6/8/17,WHF,Inland,0,12,9,1,13.05,25,0.0044,,5.99,,not enough 
6/8/17,WHF,Inland,0,12,9,2,13.05,25,0.0048,,7.47,,not enough 
6/8/17,WHF,Inland,4,12,10,1,14.3,25,0.005,0.0003,8.34,450,
6/8/17,WHF,Inland,4,12,10,2,14.3,25,0.0054,0.0001,7.45,593,
6/8/17,WHF,Inland,4,12,10,3,14.3,25,0.0049,0.0003,7.78,416,
6/8/17,WHF,Inland,4,12,10,4,14.3,25,0.0032,0.0004,,,"broken tail, not enough for osmo"
6/21/17,PWL,Inland,0,0,11,1,0.26,25,0.0141,0.0007,10.19,235,
6/21/17,PWL,Inland,0,0,11,2,0.26,25,0.0162,0.0006,9.08,231,
6/21/17,PWL,Inland,0,0,11,3,0.26,25,0.0133,0.0004,9.21,214,
6/21/17,PWL,Inland,0,0,11,4,0.26,25,0.0131,0.0007,10.27,270,
6/21/17,PWL,Inland,0,0,11,5,0.26,25,0.0129,0.0006,9.79,209,
6/21/17,PWL,Inland,4,0,12,1,0.12,25,0.0151,0.0006,11.08,264,
6/21/17,PWL,Inland,4,0,12,2,0.12,25,0.0113,0.0005,10.01,234,
6/21/17,PWL,Inland,4,0,12,3,0.12,25,0.0166,,11.33,259,
6/21/17,PWL,Inland,4,0,12,4,0.12,25,0.016,0.0004,10.77,291,
6/21/17,PWL,Inland,4,0,12,5,0.12,25,0.0154,0.0008,,250,
6/21/17,PWL,Inland,0,4,13,1,4.92,25,0.0176,0.001,10.58,210,
6/21/17,PWL,Inland,0,4,13,2,4.92,25,0.0147,0.0007,11.17,266,
6/21/17,PWL,Inland,0,4,13,3,4.92,25,0.0149,0.0007,10.42,241,
6/21/17,PWL,Inland,0,4,13,4,4.92,25,0.0156,0.0009,11.78,263,
6/21/17,PWL,Inland,0,4,13,5,4.92,25,0.014,0.0006,,244,
6/21/17,PWL,Inland,4,4,14,1,5.21,25,0.0122,0.0008,10.64,299,
6/21/17,PWL,Inland,4,4,14,2,5.21,25,0.0159,0.0007,10.86,262,
6/21/17,PWL,Inland,4,4,14,3,5.21,25,0.0137,0.0008,10.95,277,
6/21/17,PWL,Inland,4,4,14,4,5.21,25,0.0122,0.0008,9.36,281,
6/21/17,PWL,Inland,4,4,14,5,5.21,25,0.0132,0.0007,10.52,294,
6/21/17,PWL,Inland,0,6,15,1,8.3,25,0.0171,0.0005,11.17,291,
6/21/17,PWL,Inland,0,6,15,2,8.3,25,0.0154,0.0008,10.86,323,
6/21/17,PWL,Inland,0,6,15,3,8.3,25,0.0138,0.0009,10.77,322,
6/21/17,PWL,Inland,0,6,15,4,8.3,25,0.0181,0.0008,10.99,324,
6/21/17,PWL,Inland,0,6,15,5,8.3,25,0.0125,0.0006,9.25,278,
6/21/17,PWL,Inland,4,6,16,1,8.4,25,0.0144,0.0009,9.84,466,
6/21/17,PWL,Inland,4,6,16,2,8.4,25,0.0134,0.0008,9.57,308,
6/21/17,PWL,Inland,4,6,16,3,8.4,25,0.0125,,10.32,,504-small sample
6/21/17,PWL,Inland,4,6,16,4,8.4,25,0.0116,0.0006,9.68,313,
6/21/17,PWL,Inland,4,6,16,5,8.4,25,0.0093,0.0005,8.52,320,
6/21/17,PWL,Inland,0,8,17,1,11.2,25,0.0125,0.0006,10.21,371,
6/21/17,PWL,Inland,0,8,17,2,11.2,25,0.016,0.0011,11.34,384,
6/21/17,PWL,Inland,0,8,17,3,11.2,25,0.0141,0.001,11.64,461,
6/21/17,PWL,Inland,0,8,17,4,11.2,25,0.0122,0.0008,8.16,403,
