date,week,julian,hatch,age,egg,tad,pop,loc,ind,total,head,weight,salinity,temp,,
6/16/17,1.00,42902.00,42884.00,18.00,4,8,WHF,inland,1,10.6,,0.015,,24.83333333,,
6/16/17,1.00,42902.00,42884.00,18.00,4,8,WHF,inland,3,15.42,,0.094,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,4,8,WHF,inland,2,11.24,,0.033,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,8,WHF,inland,4,10.15,,0.016,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,4,6,WHF,inland,5,18.86,,0.071,,25.5,,
6/16/17,1.00,42902.00,42884.00,18.00,4,6,WHF,inland,4,20.63,,0.081,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,6,WHF,inland,1,19.89,,0.1,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,6,WHF,inland,3,16.67,,0.045,,24.61111111,,
6/16/17,1.00,42902.00,42884.00,18.00,4,6,WHF,inland,2,14.13,,0.042,,24.61111111,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,9,26.83,,0.14,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,4,19.37,,0.086,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,8,25.14,,0.162,,24.61111111,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,1,22.76,,0.107,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,2,21.59,,0.075,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,6,18.87,,0.076,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,10,17.98,,0.063,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,3,20.36,,0.081,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,5,16.89,,0.071,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,4,WHF,inland,7,18.63,,0.09,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,10,18.43,,0.094,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,3,22.01,,0.121,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,8,18.56,,0.06,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,1,21.97,,0.1,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,5,24.91,,0.194,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,9,23.44,,0.113,,24.05555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,4,17.36,,0.059,,24,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,7,23.65,,0.116,,24,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,6,19.65,,0.075,,24.05555556,,
6/16/17,1.00,42902.00,42884.00,18.00,4,0,WHF,inland,2,17.44,,0.118,,24.55555556,,
6/16/17,1.00,42902.00,42884.00,18.00,0,8,WHF,inland,2,11.48,,0.02,,25,,
6/16/17,1.00,42902.00,42884.00,18.00,0,8,WHF,inland,3,12.33,,0.025,,25.05555556,,
6/16/17,1.00,42902.00,42884.00,18.00,0,8,WHF,inland,5,9.06,,0.01,,24.94444444,,
6/16/17,1.00,42902.00,42884.00,18.00,0,8,WHF,inland,1,13.91,,0.04,,24.94444444,,
6/16/17,1.00,42902.00,42884.00,18.00,0,8,WHF,inland,4,,,,,24.88888889,deceased,
6/16/17,1.00,42902.00,42884.00,18.00,0,6,WHF,inland,5,11.24,,0.013,,24.61111111,,
6/16/17,1.00,42902.00,42884.00,18.00,0,6,WHF,inland,4,13.86,,0.025,,24.66666667,,
6/16/17,1.00,42902.00,42884.00,18.00,0,6,WHF,inland,1,20.07,,0.162,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,6,WHF,inland,2,18.25,,0.079,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,6,WHF,inland,3,14.04,,0.077,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,9,19.93,,0.13,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,4,14.63,,0.023,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,1,20.35,,0.104,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,8,20.64,,0.1,,25.22222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,2,23.68,,0.123,,25.11111111,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,6,17.64,,0.098,,25.16666667,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,7,14.43,,0.087,,25.22222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,4,WHF,inland,5,14.36,,0.029,,25.22222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,2,21.24,,0.102,,24,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,4,21.9,,0.121,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,8,24.24,,0.113,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,7,22.45,,0.112,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,1,26.18,,0.206,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,6,24.79,,0.2,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,10,21.93,,0.154,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,5,18.9,,0.111,,24.77777778,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,9,20.68,,0.11,,24.72222222,,
6/16/17,1.00,42902.00,42884.00,18.00,0,0,WHF,inland,3,22.9,,0.113,,24.66666667,,
6/23/17,2.00,42909.00,42884.00,25.00,4,8,WHF,inland,1,9.25,5.26,0.026,,26,,
6/23/17,2.00,42909.00,42884.00,25.00,4,8,WHF,inland,3,16.1,6.69,0.05,,25.8,,
6/23/17,2.00,42909.00,42884.00,25.00,4,6,WHF,inland,2,20.63,8.84,0.079,,,,
6/23/17,2.00,42909.00,42884.00,25.00,4,6,WHF,inland,1,30.63,10.4,0.229,,25.1,,
6/23/17,2.00,42909.00,42884.00,25.00,4,6,WHF,inland,5,25.37,8.98,0.167,,25.1,,
6/23/17,2.00,42909.00,42884.00,25.00,4,6,WHF,inland,3,23.69,7.71,0.089,,25.1,,
6/23/17,2.00,42909.00,42884.00,25.00,4,6,WHF,inland,4,27.86,9,0.196,,25.2,,
6/23/17,2.00,42909.00,42884.00,25.00,0,6,WHF,inland,4,13.63,6.37,0.033,,25.6,,
6/23/17,2.00,42909.00,42884.00,25.00,0,6,WHF,inland,1,24.57,8.25,0.138,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,6,WHF,inland,3,17.24,7.7,0.078,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,6,WHF,inland,5,10.19,4.76,0.012,,25.6,,
6/23/17,2.00,42909.00,42884.00,25.00,0,6,WHF,inland,2,30.97,9.79,0.221,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,10,27.68,9.28,0.185,,25.7,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,1,36.11,11.89,0.307,,25.8,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,8,29.87,11.17,0.206,,25.8,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,3,27.57,10.69,0.2,,25.7,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,2,32.93,9.95,0.248,,25.6,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,7,29.02,10.17,0.202,,25.6,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,9,37.03,11.88,0.345,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,6,28.1,10.53,0.189,,25.4,,
6/23/17,2.00,42909.00,42884.00,25.00,4,4,WHF,inland,5,33.32,11.26,0.257,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,6,27.3,10.97,0.226,,24.4,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,9,29.03,10.71,0.197,,24.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,2,31.94,10.1,0.249,,24.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,1,31.99,11.8,0.256,,25.8,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,7,24.71,8.6,0.139,,25.7,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,5,15.86,6.34,0.04,,25.7,,
6/23/17,2.00,42909.00,42884.00,25.00,0,4,WHF,inland,8,29.48,10.26,0.202,,25.6,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,5,35.95,12.28,0.334,,25.4,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,1,29.81,11.04,0.305,,25.4,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,8,33.69,11.97,0.272,,25.4,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,7,32.85,12.24,0.274,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,10,33,11.03,0.241,,25.5,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,2,28.09,10.08,0.162,,24.4,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,6,35.6,10.99,0.281,,24.3,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,3,30.2,11.61,0.219,,24.3,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,4,33.23,11.01,0.279,,25.9,,
6/23/17,2.00,42909.00,42884.00,25.00,4,0,WHF,inland,9,32.3,10.94,0.271,,25.8,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,1,35.65,11.9,0.369,,25.3,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,2,34.3,14.02,0.3,,3.8,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,10,34.27,11.98,0.33,,24.7,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,4,33.01,11.51,0.315,,24.8,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,9,33.31,11.98,0.305,,24.8,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,8,36.06,11.59,0.39,,24.5,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,7,35.29,12.15,0.274,,25.3,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,5,29.71,10.62,0.195,,25.3,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,3,32.42,11.05,0.3,,25.4,,
6/23/17,2.00,42909.00,42884.00,25.00,0,0,WHF,inland,6,31.24,11.01,0.256,,25.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,3,24.64,8.89,0.129,,25.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,5,22.21,8.42,0.094,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,8,22.72,8.32,0.119,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,4,25.17,8.56,0.122,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,10,24.36,8.52,0.101,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,1,14.5,6.8,0.051,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,2,24.18,9.24,0.125,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,13,20.68,8.34,0.105,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,15,23.44,8.99,0.129,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,14,23.4,9.01,0.125,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,9,19.92,8.78,0.1,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,6,24.85,9.85,0.168,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,11,22.89,9.7,0.115,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,12,24.1,8.55,0.109,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,0,PWL,inland,7,25.08,8.7,0.141,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,1,24.6,8.49,0.156,,25.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,3,21.17,8.18,0.096,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,5,25.36,8.59,0.138,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,8,24.53,8.81,0.128,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,2,23.6,8.92,0.122,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,4,24.52,8.64,0.153,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,6,24.95,8.94,0.141,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,7,22.92,8.81,0.133,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,12,26.43,8.3,0.153,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,13,22.93,8.25,0.121,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,11,21.76,8.5,0.095,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,9,21.15,8.93,0.118,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,14,23.85,8.58,0.117,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,4,PWL,inland,15,21.82,8.78,0.137,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,6,PWL,inland,1,24.53,8.87,0.133,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,6,PWL,inland,5,20.99,7.35,0.097,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,6,PWL,inland,2,19.36,6.96,0.075,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,4,6,PWL,inland,4,24.41,8.51,0.129,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,8,PWL,inland,1,15.14,6.38,0.04,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,4,8,PWL,inland,3,14.77,6.62,0.041,,24.7,,
6/29/17,1.00,42915.00,42898.00,17.00,4,8,PWL,inland,2,18.43,6.56,0.058,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,4,8,PWL,inland,5,16.25,6.32,0.058,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,4,8,PWL,inland,4,12.77,5.17,0.026,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,13,22.34,7.61,0.108,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,5,24.32,7.77,0.13,,24.7,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,8,23.29,7.54,0.097,,24.7,,
