target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	681.049	17.3886	1.4354
NODE_20052_length_577_cov_2.128352_g14930_i0	577	356.536	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	336.986	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	308.691	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	293.384	3.7971	0.727617
NODE_31136_length_313_cov_2.038760_g25524_i0	313	117.951	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2481.05	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	414.085	2.93127	0.397973
NODE_43821_length_262_cov_1.396476_g40147_i0	262	82.2518	3	2.05051
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.0306	0	0
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.6984	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.6984	0.0212134	0.0576184
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.2191	1	3.08574
S68461	1243	1021.05	24.158	1.33015
S86333	1047	825.049	0	0
TRINITY_DN2174_c0_g1_i1	514	295.324	3.18667	0.606631
TRINITY_DN24794_c0_g1_i1	203	47.615	0	0
TRINITY_DN12222_c0_g1_i1	252	76.285	0	0
TRINITY_DN3345_c0_g1_i10	351	147.745	4.22222	1.60662
TRINITY_DN6076_c0_g1_i1	1677	1455.05	17.6575	0.682244
TRINITY_DN8246_c0_g3_i1	265	84.2863	1	0.667006
TRINITY_DN8266_c0_g4_i1	215	54.4564	5.49578	5.6737
TRINITY_DN5643_c0_g1_i5	1083	861.049	9.11394	0.595066
TRINITY_DN26050_c0_g1_i1	215	54.4564	1	1.03238
TRINITY_DN11368_c0_g1_i3	955	733.049	3.2473	0.249044
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5584.05	74.6741	0.751809
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5155.05	228.234	2.48905
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3644.05	80.8034	1.24661
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3381.05	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2539.05	11.3515	0.251343
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1781.05	0.88105	0.0278107
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1741.05	26.9479	0.870164
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1631.05	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1586.05	7.50621	0.266067
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1491.05	52.9238	1.99547
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1200.05	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1149.05	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1105.05	9.7022	0.493601
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1029.05	18.7644	1.02515
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1018.05	11.6132	0.641315
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1009.05	8.03925	0.447909
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	974.049	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	937.049	9.81258	0.588719
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	918.049	2.22114	0.136018
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	907.049	2.64781	0.164113
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	903.049	3.7263	0.231982
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	902.049	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	898.049	5.09433	0.318914
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	865.049	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	858.049	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	850.049	23.264	1.5386
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	849.049	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	832.049	10.2282	0.691096
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	797.049	8.32746	0.587374
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	787.049	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	775.049	8.97277	0.650855
NODE_12613_length_979_cov_2.230519_g335_i2	979	757.049	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	749.049	3.80399	0.285506
NODE_12757_length_967_cov_1.865132_g9057_i0	967	745.049	14.8837	1.12309
NODE_12841_length_962_cov_2.140022_g2204_i1	962	740.049	12.9151	0.981122
NODE_12883_length_958_cov_2.720930_g9144_i0	958	736.049	4.71583	0.360196
NODE_12894_length_957_cov_2.092018_g8637_i1	957	735.049	17.6458	1.34962
NODE_12913_length_956_cov_2.244173_g9165_i0	956	734.049	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	727.049	5.60456	0.433376
NODE_13012_length_948_cov_2.160134_g2433_i1	948	726.049	18.1988	1.40918
NODE_13144_length_937_cov_2.317460_g9342_i0	937	715.049	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	701.049	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	687.049	0	0
