target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	681.697	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	357.294	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	337.605	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	309.509	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	294.115	9.81789	1.38521
NODE_31136_length_313_cov_2.038760_g25524_i0	313	118.934	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2481.7	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	414.385	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	82.6429	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.3182	5	7.88365
NODE_72602_length_141_cov_1.839623_g68928_i0	141	22.2818	1	1.86236
NODE_72798_length_141_cov_1.386792_g69124_i0	141	22.2818	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.4047	1	2.13849
S68461	1243	1021.7	47.3262	1.92218
S86333	1047	825.697	18.4056	0.925004
TRINITY_DN2174_c0_g1_i1	514	295.996	10.5464	1.47854
TRINITY_DN24794_c0_g1_i1	203	48.2525	0	0
TRINITY_DN12222_c0_g1_i1	252	75.903	0	0
TRINITY_DN3345_c0_g1_i10	351	149.152	6.00059	1.66947
TRINITY_DN6076_c0_g1_i1	1677	1455.7	15.7851	0.449976
TRINITY_DN8246_c0_g3_i1	265	84.703	2	0.979817
TRINITY_DN8266_c0_g4_i1	215	54.5336	2.86485	2.17997
TRINITY_DN5643_c0_g1_i5	1083	861.697	28.4332	1.36926
TRINITY_DN26050_c0_g1_i1	215	54.5336	5.70568	4.34168
TRINITY_DN11368_c0_g1_i3	955	733.697	22.5704	1.27655
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5584.7	179.773	1.33579
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5155.7	412.299	3.31848
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3644.7	0.00985455	0.000112199
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3381.7	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2539.7	28.3376	0.463015
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1781.7	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1741.7	23.0425	0.548999
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1631.7	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1586.7	0	0
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1491.7	26.342	0.732794
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1200.7	0	0
