Full_TRT,Pop,trt,egg,tad,loc,ind,DateColl,JulDateCol,Date_Hatch,Jul_hatch,Date_AccStart,JulDate_AccStart,Age_Start,outcome,Date_death,Jul_Death,Date_metamorph,Jul_metamorph,time,Cause,MM_total,MM_tail,MM_weight,Final_date,Jul_Final,Final_SVL,Final_weight,observer,,
0-0-WHF-1,WHF,zerozero,0,0,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,14-Jul,42930.00,42930,,57.03,39.02,0.922,17-Jul,42933.00,19.31,0.545,,,
0-0-WHF-2,WHF,zerozero,0,0,inland,2,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,17-Jul,42933.00,42933,,52.42,36.4,0.817,21-Jul,42937.00,18.41,0.481,,,
0-0-WHF-3,WHF,zerozero,0,0,inland,3,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,18-Jul,42934.00,42934,,56.07,38.97,1.02,21-Jul,42937.00,20.64,0.572,,,
0-0-WHF-4,WHF,zerozero,0,0,inland,4,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,a,,,,,,,,,,
0-0-WHF-5,WHF,zerozero,0,0,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,19-Jul,42935.00,42935,,55.17,34.88,0.936,22-Jul,42938.00,20.6,0.604,,,
0-0-WHF-6,WHF,zerozero,0,0,inland,6,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,54.77,37.74,0.871,19-Jul,42935.00,18.8,0.537,,,
0-0-WHF-7,WHF,zerozero,0,0,inland,7,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,17-Jul,42933.00,42933,,58.24,37.93,0.917,21-Jul,42937.00,19.87,0.551,,,
0-0-WHF-8,WHF,zerozero,0,0,inland,8,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,md,20-Jul,42936,16-Jul,42932.00,42932,u,57.55,40.44,1.044,,,,,,,
0-0-WHF-9,WHF,zerozero,0,0,inland,9,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,53.99,36.06,0.89,19-Jul,42935.00,19.79,0.588,,,
0-0-WHF-10,WHF,zerozero,0,0,inland,10,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,a,,,,,,,,,,
0-4-WHF-1,WHF,zerofour,0,4,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,50.13,33.44,0.687,19-Jul,42935.00,18.02,0.398,,,
