target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	676.413	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	352.74	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	333.12	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	305.239	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	289.961	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	117.447	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2476.27	1.00292e-08	3.09289e-10
NODE_22308_length_635_cov_107.566667_g3678_i2	635	409.496	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	82.1236	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.7236	2	5.93737
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.8198	2	7.33582
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.8198	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.23	2	8.37795
S68461	1243	1016.27	33.92	2.54884
S86333	1047	820.27	0	0
TRINITY_DN2174_c0_g1_i1	514	291.902	0	0
TRINITY_DN24794_c0_g1_i1	203	47.951	0	0
TRINITY_DN12222_c0_g1_i1	252	76.079	0	0
TRINITY_DN3345_c0_g1_i10	351	147.162	2.45373	1.27328
TRINITY_DN6076_c0_g1_i1	1677	1450.27	16.1057	0.84806
TRINITY_DN8246_c0_g3_i1	265	84.0488	0	0
TRINITY_DN8266_c0_g4_i1	215	54.051	2.82509	3.99138
TRINITY_DN5643_c0_g1_i5	1083	856.27	20.1571	1.79768
TRINITY_DN26050_c0_g1_i1	215	54.051	1	1.41283
TRINITY_DN11368_c0_g1_i3	955	728.345	14.9538	1.56787
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5579.27	71.1489	0.973836
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5150.27	199.806	2.9626
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3639.27	19.0554	0.399852
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3376.27	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2534.27	8.30298	0.250194
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1776.27	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1736.27	8.50848	0.374222
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1626.27	7.55831	0.354917
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1581.27	5.3559	0.258655
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1486.27	95.1116	4.88687
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1195.27	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1144.27	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1100.27	17.0624	1.18423
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1024.27	11.1448	0.830909
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1013.27	5.59462	0.421639
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1004.27	23.9531	1.82141
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	969.27	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	932.27	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	913.27	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	902.27	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	898.27	17.7543	1.50936
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	897.27	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	893.27	0	0
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	860.27	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	853.27	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	845.27	66.798	6.0348
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	844.27	0.00560291	0.000506789
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	827.27	3.25361	0.30034
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	792.27	7.07495	0.681938
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	782.27	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	770.27	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	752.27	8.04336	0.816505
