target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	683.972	25.5985	2.53955
NODE_20052_length_577_cov_2.128352_g14930_i0	577	359.312	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	339.732	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	311.549	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	295.942	4.61129	1.0573
NODE_31136_length_313_cov_2.038760_g25524_i0	313	120.178	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2483.97	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	416.455	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	84.3392	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.4487	2	5.13106
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.4974	4	12.6257
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.4974	1.32544	4.18366
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.525	3	10.9887
S68461	1243	1023.97	23.4188	1.55188
S86333	1047	827.972	0	0
TRINITY_DN2174_c0_g1_i1	514	297.763	0	0
TRINITY_DN24794_c0_g1_i1	203	48.8803	1.08442	1.50537
TRINITY_DN12222_c0_g1_i1	252	78.0093	3	2.60949
TRINITY_DN3345_c0_g1_i10	351	150.073	13.108	5.92673
TRINITY_DN6076_c0_g1_i1	1677	1457.97	10.1561	0.472672
TRINITY_DN8246_c0_g3_i1	265	86.2577	0.91239	0.717734
TRINITY_DN8266_c0_g4_i1	215	55.6258	2.48069	3.02607
TRINITY_DN5643_c0_g1_i5	1083	863.972	34.5661	2.71476
TRINITY_DN26050_c0_g1_i1	215	55.6258	1	1.21985
TRINITY_DN11368_c0_g1_i3	955	735.972	151.016	13.9233
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5586.97	0.00984519	0.000119572
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5157.97	268.569	3.53312
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3646.97	83.8041	1.55924
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3383.97	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2541.97	31.8796	0.850986
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1783.97	1.04394e-07	3.97073e-09
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1743.97	27.9846	1.08883
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1633.97	6.01369	0.249734
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1588.97	8.17267	0.349003
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1493.97	48.4608	2.20105
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1202.97	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1151.97	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1107.97	9.88022	0.605088
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1031.97	15.7494	1.03556
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1020.97	17.4845	1.16204
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1011.97	12.7779	0.856787
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	976.972	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	939.972	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	920.972	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	909.972	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	905.972	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	904.972	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	900.972	3.78829	0.285307
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	867.972	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	860.972	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	852.972	35.303	2.80839
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	851.972	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	834.972	2.57295	0.209094
