target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	666.14	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	342.824	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	323.624	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	295.837	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	280.891	2.09516	0.445404
NODE_31136_length_313_cov_2.038760_g25524_i0	313	112.584	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2466.07	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	399.04	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	78.2761	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	24.5835	13	31.5773
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.0147	3	8.9505
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.0147	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	17.5723	0	0
S68461	1243	1006.07	18.1079	1.07477
S86333	1047	810.069	0	0
TRINITY_DN2174_c0_g1_i1	514	282.806	3.78625	0.799459
TRINITY_DN24794_c0_g1_i1	203	45.3623	4	5.2655
TRINITY_DN12222_c0_g1_i1	252	72.0937	0	0
TRINITY_DN3345_c0_g1_i10	351	141.211	5.39404	2.28098
TRINITY_DN6076_c0_g1_i1	1677	1440.07	17.4218	0.722411
TRINITY_DN8246_c0_g3_i1	265	80.1631	2.21982	1.65355
TRINITY_DN8266_c0_g4_i1	215	51.4252	8.76793	10.1811
TRINITY_DN5643_c0_g1_i5	1083	846.069	31.5034	2.22345
TRINITY_DN26050_c0_g1_i1	215	51.4252	6.1884	7.18584
TRINITY_DN11368_c0_g1_i3	955	718.069	59.5176	4.94942
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5569.07	1.48446	0.015917
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5140.07	293.276	3.40708
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3629.07	87.4232	1.43849
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3366.07	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2524.07	29.97	0.709023
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1766.07	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1726.07	54.4914	1.88515
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1616.07	23.3844	0.864057
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1571.07	0	0
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1476.07	41.0496	1.66065
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1185.07	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1134.07	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1090.07	16.2442	0.889856
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1014.07	8.56264	0.504215
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1003.07	13.7799	0.820336
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	994.069	67.3899	4.04812
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	959.069	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	922.069	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	903.069	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	892.069	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	888.069	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	887.069	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	883.069	0	0
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	850.069	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	843.069	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	835.069	71.2739	5.09663
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	834.069	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	817.069	8.68587	0.63479
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	782.069	5.6604	0.432193
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	772.069	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	760.069	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	742.069	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	734.069	2.05947	0.167531
NODE_12757_length_967_cov_1.865132_g9057_i0	967	730.069	15.833	1.29502
NODE_12841_length_962_cov_2.140022_g2204_i1	962	725.069	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	721.069	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	720.069	15.79	1.30943
NODE_12913_length_956_cov_2.244173_g9165_i0	956	719.069	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	712.14	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	711.14	9.69238	0.813862
NODE_13144_length_937_cov_2.317460_g9342_i0	937	700.14	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	686.14	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	672.14	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	666.14	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	663.14	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	654.14	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	648.14	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	632.14	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	629.14	0	0
NODE_14727_length_831_cov_2.920103_g10537_i0	831	594.14	24.6066	2.47308
NODE_14766_length_829_cov_2.321705_g10570_i0	829	592.14	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	549.14	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	547.14	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	544.14	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	532.194	18.6233	2.0896
NODE_15814_length_765_cov_2.273239_g11405_i0	765	528.194	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	518.194	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	498.296	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	497.296	16.8169	2.01932
NODE_16406_length_733_cov_2.072271_g11349_i1	733	496.346	0.135583	0.0163116
NODE_16407_length_733_cov_2.051622_g11877_i0	733	496.346	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	493.346	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	489.395	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	477.395	6.23997	0.780513
NODE_16934_length_707_cov_2.266871_g11405_i1	707	470.395	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	463.395	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	462.395	56.446	7.28946
NODE_17339_length_686_cov_1.995246_g12631_i0	686	449.532	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	437.71	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	436.71	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	434.71	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	427.71	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	423.795	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	415.837	3.30906	0.475178
NODE_18145_length_651_cov_2.723154_g13291_i0	651	414.837	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	412.837	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	410.837	0	0
NODE_18329_length_643_cov_2.375850_g13446_i0	643	406.919	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	406.919	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	403.919	0	0
NODE_18772_length_625_cov_2.203509_g13828_i0	625	389.198	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	386.237	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	375.428	1.39831	0.222409
NODE_19273_length_606_cov_2.259528_g14239_i0	606	370.615	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	368.652	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	367.689	0	0
