target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	674.703	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	350.018	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	330.762	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	303.071	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	287.849	3.99134	0.850888
NODE_31136_length_313_cov_2.038760_g25524_i0	313	114.959	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2474.63	4.99858e-07	1.23952e-08
NODE_22308_length_635_cov_107.566667_g3678_i2	635	407.27	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	79.6288	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	24.7017	3	7.45268
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.7199	2	5.92325
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.7199	0.861205	2.55056
NODE_74726_length_131_cov_2.072917_g71052_i0	131	17.4421	1	3.51818
S68461	1243	1014.63	16.3377	0.988096
S86333	1047	818.634	0	0
TRINITY_DN2174_c0_g1_i1	514	289.819	6.47429	1.37083
TRINITY_DN24794_c0_g1_i1	203	45.9774	1	1.33467
TRINITY_DN12222_c0_g1_i1	252	73.431	0	0
TRINITY_DN3345_c0_g1_i10	351	144.586	4.53491	1.92468
TRINITY_DN6076_c0_g1_i1	1677	1448.63	7.43697	0.315032
TRINITY_DN8246_c0_g3_i1	265	81.5823	1	0.752179
TRINITY_DN8266_c0_g4_i1	215	51.9835	3.38343	3.99401
TRINITY_DN5643_c0_g1_i5	1083	854.634	16.0048	1.14918
TRINITY_DN26050_c0_g1_i1	215	51.9835	0	0
TRINITY_DN11368_c0_g1_i3	955	726.634	7.54888	0.637506
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5577.63	84.2113	0.926485
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5148.63	245.209	2.92255
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3637.63	71.5393	1.20682
