target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	671.892	26.0505	2.51277
NODE_20052_length_577_cov_2.128352_g14930_i0	577	347.968	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	328.576	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	300.967	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	285.916	2.76426	0.62658
NODE_31136_length_313_cov_2.038760_g25524_i0	313	115.63	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2471.61	0.00475635	0.000124718
NODE_22308_length_635_cov_107.566667_g3678_i2	635	404.804	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	81.3411	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.2542	2	4.93705
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.9446	1	2.95331
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.9446	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.3193	1	3.35462
S68461	1243	1011.61	25.4918	1.63314
S86333	1047	815.607	15.2475	1.21158
TRINITY_DN2174_c0_g1_i1	514	287.712	4.21031	0.948398
TRINITY_DN24794_c0_g1_i1	203	47.3742	4.8167	6.58937
TRINITY_DN12222_c0_g1_i1	252	75.2219	2.20353	1.8985
TRINITY_DN3345_c0_g1_i10	351	144.388	0	0
TRINITY_DN6076_c0_g1_i1	1677	1445.61	1.9659	0.0881348
TRINITY_DN8246_c0_g3_i1	265	83.1383	1.72213	1.34246
TRINITY_DN8266_c0_g4_i1	215	53.584	6.08016	7.35385
TRINITY_DN5643_c0_g1_i5	1083	851.607	41.2019	3.13555
TRINITY_DN26050_c0_g1_i1	215	53.584	1.97932	2.39396
TRINITY_DN11368_c0_g1_i3	955	723.756	6.37092	0.570487
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5574.61	2.11129e-05	2.45453e-07
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5145.61	304.463	3.83472
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3634.61	144.378	2.57441
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3371.61	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2529.61	12.5208	0.320786
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1771.61	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1731.61	21.4325	0.802157
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1621.61	22.1272	0.884334
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1576.61	27.5379	1.13199
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1481.61	85.0879	3.72195
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1190.61	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1139.61	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1095.61	6.31703	0.373674
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1019.61	8.34095	0.530173
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1008.61	5.05695	0.324939
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	999.607	30.0864	1.95063
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	964.607	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	927.607	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	908.607	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	897.607	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	893.607	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	892.607	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	888.607	5.29215	0.385974
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	855.607	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	848.607	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	840.607	50.9714	3.92978
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	839.607	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	822.607	16.0749	1.26646
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	787.607	6.39664	0.526354
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	777.607	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	765.607	14.7388	1.24765
NODE_12613_length_979_cov_2.230519_g335_i2	979	747.683	1.97112	0.170856
NODE_12710_length_971_cov_2.359170_g9019_i0	971	739.683	0	0
NODE_12757_length_967_cov_1.865132_g9057_i0	967	735.683	6.91273	0.608968
NODE_12841_length_962_cov_2.140022_g2204_i1	962	730.756	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	726.756	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	725.756	22.0002	1.96459
NODE_12913_length_956_cov_2.244173_g9165_i0	956	724.756	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	717.756	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	716.756	8.19894	0.741347
NODE_13144_length_937_cov_2.317460_g9342_i0	937	705.756	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	691.756	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	677.825	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	671.892	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	668.892	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	659.958	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	653.958	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	637.958	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	635.022	6.88005	0.702164
NODE_14727_length_831_cov_2.920103_g10537_i0	831	600.022	30.5078	3.29518
NODE_14766_length_829_cov_2.321705_g10570_i0	829	598.022	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	555.022	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	553.022	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	550.022	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	538.076	1.47408	0.177547
NODE_15814_length_765_cov_2.273239_g11405_i0	765	534.076	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	524.129	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	504.18	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	503.18	20.0518	2.58264
NODE_16406_length_733_cov_2.072271_g11349_i1	733	502.18	4.13355	0.533457
NODE_16407_length_733_cov_2.051622_g11877_i0	733	502.18	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	499.18	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	495.18	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	483.229	1.33269	0.178735
NODE_16934_length_707_cov_2.266871_g11405_i1	707	476.229	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	469.277	2.75701	0.380755
NODE_17073_length_699_cov_8.725155_g12409_i0	699	468.323	83.5318	11.5596
NODE_17339_length_686_cov_1.995246_g12631_i0	686	455.369	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	443.504	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	442.504	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	440.549	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	433.549	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	429.722	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	421.722	0	0
NODE_18145_length_651_cov_2.723154_g13291_i0	651	420.722	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	418.722	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	416.722	13.1044	2.03801
NODE_18329_length_643_cov_2.375850_g13446_i0	643	412.763	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	412.763	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	409.763	0.983179	0.155502
NODE_18772_length_625_cov_2.203509_g13828_i0	625	394.963	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	392.042	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	381.313	0	0
NODE_19273_length_606_cov_2.259528_g14239_i0	606	376.351	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	374.426	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	373.426	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	371.463	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	363.61	6.34346	1.13064
NODE_19756_length_588_cov_4.142589_g14670_i0	588	358.755	5.04403	0.911203
NODE_19903_length_583_cov_2.155303_g14799_i0	583	353.898	4.64206	0.850096
NODE_20074_length_576_cov_2.740883_g14950_i0	576	347.003	0.590807	0.110344
NODE_20174_length_573_cov_1.536680_g15035_i0	573	344.003	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	341.072	1.83783	0.349216
NODE_20274_length_569_cov_1.729572_g15126_i0	569	340.107	4.54877	0.866791
NODE_20612_length_557_cov_1.958167_g15429_i0	557	328.576	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	313.225	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	313.225	29.6779	6.14063
NODE_21160_length_538_cov_1.801242_g15926_i0	538	310.319	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	307.536	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	306.629	5.56309	1.17581
NODE_21399_length_530_cov_1.898947_g16136_i0	530	302.906	5.64869	1.20858
NODE_21460_length_528_cov_2.236786_g16190_i0	528	300.967	6.95829	1.49837
NODE_21516_length_526_cov_1.815287_g16240_i0	526	299.088	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	293.418	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	281.973	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	281.973	0.916591	0.21067
NODE_22373_length_500_cov_1.802247_g17029_i0	500	274.452	0	0
NODE_22415_length_499_cov_2.009009_g17064_i0	499	273.48	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	270.673	0	0
NODE_22554_length_495_cov_2.556818_g17192_i0	495	269.701	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	268.756	9.18389	2.21465
NODE_22793_length_488_cov_2.503464_g17416_i0	488	263.081	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	257.531	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	252.025	3.47041	0.892428
NODE_23329_length_473_cov_1.889952_g17906_i0	473	249.281	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	248.332	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	245.609	0	0
NODE_23684_length_463_cov_2.272059_g18240_i0	463	240.181	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	233.008	0	0
NODE_24141_length_451_cov_2.108586_g18669_i0	451	229.413	0	0
NODE_24251_length_448_cov_2.445293_g18771_i0	448	226.884	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	226.025	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	212.981	0	0
NODE_24980_length_430_cov_1.616000_g19469_i0	430	211.269	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	209.379	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	204.92	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	202.326	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	200.558	4.60372	1.48766
NODE_25473_length_418_cov_1.831956_g19940_i0	418	200.558	0.41034	0.132599
NODE_25815_length_410_cov_2.169014_g20268_i0	410	193.282	2.53024	0.84841
NODE_25957_length_407_cov_1.633523_g20410_i0	407	190.667	0.122262	0.0415576
NODE_26000_length_406_cov_1.407407_g20451_i0	406	189.747	0	0
NODE_26498_length_395_cov_2.008824_g20935_i0	395	180.439	0	0
