target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	673.189	19.0141	1.6289
NODE_20052_length_577_cov_2.128352_g14930_i0	577	349.35	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	329.861	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	302.035	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	286.808	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	115.016	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2473.19	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	406.372	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	79.3479	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.1758	9	20.6166
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.1811	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.1811	1.26276	3.43818
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.9066	0	0
S68461	1243	1013.19	20.1764	1.14844
S86333	1047	817.189	0	0
TRINITY_DN2174_c0_g1_i1	514	288.721	11.5707	2.3112
TRINITY_DN24794_c0_g1_i1	203	46.1101	1	1.25072
TRINITY_DN12222_c0_g1_i1	252	73.12	0	0
TRINITY_DN3345_c0_g1_i10	351	144.089	0	0
TRINITY_DN6076_c0_g1_i1	1677	1447.19	14.7373	0.587285
TRINITY_DN8246_c0_g3_i1	265	81.1994	2.46833	1.75311
TRINITY_DN8266_c0_g4_i1	215	51.886	3.26909	3.63357
TRINITY_DN5643_c0_g1_i5	1083	853.189	0	0
TRINITY_DN26050_c0_g1_i1	215	51.886	2	2.22299
TRINITY_DN11368_c0_g1_i3	955	725.189	30.4537	2.42185
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5576.19	3.06518e-05	3.17012e-07
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5147.19	181.553	2.03419
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3636.19	12.4418	0.19733
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3373.19	24.8453	0.424777
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2531.19	25.7508	0.586709
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1773.19	0.000287701	9.35716e-06
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1733.19	50.3789	1.67633
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1623.19	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1578.19	18.1034	0.661543
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1483.19	42.053	1.63515
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1192.19	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1141.19	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1097.19	11.4375	0.601184
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1021.19	14.6672	0.828322
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1010.19	21.248	1.21303
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1001.19	17.3804	1.00115
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	966.189	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	929.189	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	910.189	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	899.189	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	895.189	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	894.189	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	890.189	4.13177	0.267677
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	857.189	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	850.189	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	842.189	25.2382	1.72825
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	841.189	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	824.189	4.5999	0.321869
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	789.189	6.32362	0.462106
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	779.189	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	767.189	4.54212e-08	3.41439e-09
NODE_12613_length_979_cov_2.230519_g335_i2	979	749.189	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	741.189	0	0
NODE_12757_length_967_cov_1.865132_g9057_i0	967	737.189	11.881	0.929458
NODE_12841_length_962_cov_2.140022_g2204_i1	962	732.189	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	728.189	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	727.189	14.0265	1.1124
NODE_12913_length_956_cov_2.244173_g9165_i0	956	726.189	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	719.189	3.63491	0.291479
NODE_13012_length_948_cov_2.160134_g2433_i1	948	718.189	18.5268	1.48771
NODE_13144_length_937_cov_2.317460_g9342_i0	937	707.189	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	693.189	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	679.189	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	673.189	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	670.189	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	661.189	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	655.189	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	639.189	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	636.189	2.02804	0.183843
NODE_14727_length_831_cov_2.920103_g10537_i0	831	601.252	8.89921	0.853596
NODE_14766_length_829_cov_2.321705_g10570_i0	829	599.312	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	556.37	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	554.37	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	551.37	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	539.37	3.49009	0.37317
NODE_15814_length_765_cov_2.273239_g11405_i0	765	535.37	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	525.37	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	505.524	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	504.524	17.6035	2.01222
NODE_16406_length_733_cov_2.072271_g11349_i1	733	503.524	4.58933	0.525637
NODE_16407_length_733_cov_2.051622_g11877_i0	733	503.524	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	500.524	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	496.574	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	484.622	0	0
NODE_16934_length_707_cov_2.266871_g11405_i1	707	477.719	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	470.861	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	469.861	84.6393	10.3887
NODE_17339_length_686_cov_1.995246_g12631_i0	686	456.908	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	444.908	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	443.908	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	441.908	7.15752	0.934088
NODE_17845_length_664_cov_1.899836_g13041_i0	664	434.952	0	0
