target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	666.926	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	343.276	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	323.777	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	295.768	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	280.556	8.18963	1.86571
NODE_31136_length_313_cov_2.038760_g25524_i0	313	110.945	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2466.93	4.13578e-06	1.07152e-07
NODE_22308_length_635_cov_107.566667_g3678_i2	635	400.177	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	77.4053	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	23.9813	8	21.3215
NODE_72602_length_141_cov_1.839623_g68928_i0	141	19.8289	3	9.66993
NODE_72798_length_141_cov_1.386792_g69124_i0	141	19.8289	0.312293	1.00662
NODE_74726_length_131_cov_2.072917_g71052_i0	131	17.8077	0	0
S68461	1243	1006.93	68.7342	4.36291
S86333	1047	810.926	0	0
TRINITY_DN2174_c0_g1_i1	514	282.442	8.68054	1.96434
TRINITY_DN24794_c0_g1_i1	203	44.75	1.37228	1.95998
TRINITY_DN12222_c0_g1_i1	252	71.1595	0	0
TRINITY_DN3345_c0_g1_i10	351	139.307	12.1209	5.5611
TRINITY_DN6076_c0_g1_i1	1677	1440.93	26.5689	1.17851
TRINITY_DN8246_c0_g3_i1	265	79.2736	3.94201	3.17826
TRINITY_DN8266_c0_g4_i1	215	50.9084	1.12362	1.41069
TRINITY_DN5643_c0_g1_i5	1083	846.926	29.5724	2.23173
TRINITY_DN26050_c0_g1_i1	215	50.9084	3.21097	4.03132
TRINITY_DN11368_c0_g1_i3	955	718.926	6.80258	0.60477
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5569.93	5.04626e-06	5.79056e-08
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5140.93	65.571	0.815212
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3629.93	0.965419	0.0169988
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3366.93	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2524.93	23.6308	0.598177
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1766.93	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1726.93	33.9773	1.25752
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1616.93	24.3087	0.960888
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1571.93	3.55521	0.144555
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1476.93	27.1085	1.17313
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1185.93	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1134.93	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1090.93	9.07034	0.531409
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1014.93	12.4499	0.78403
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1003.93	19.0072	1.21009
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	994.926	60.6283	3.8948
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	959.926	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	922.926	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	903.926	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	892.926	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	888.926	21.6349	1.55557
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	887.926	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	883.926	39.8151	2.87894
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	850.926	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	843.926	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	835.926	58.631	4.48291
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	834.926	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	817.926	8.93284	0.698033
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	782.926	14.6564	1.19649
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	772.926	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	760.926	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	742.926	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	734.926	4.61969	0.401763
NODE_12757_length_967_cov_1.865132_g9057_i0	967	730.926	3.84519	0.336237
NODE_12841_length_962_cov_2.140022_g2204_i1	962	725.926	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	721.926	7.33263	0.649184
NODE_12894_length_957_cov_2.092018_g8637_i1	957	720.926	28.1184	2.49287
NODE_12913_length_956_cov_2.244173_g9165_i0	956	719.926	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	712.926	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	711.926	0	0
NODE_13144_length_937_cov_2.317460_g9342_i0	937	700.926	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	686.926	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	672.926	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	666.926	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	663.926	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	654.926	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	648.926	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	632.926	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	629.926	0.215139	0.0218288
NODE_14727_length_831_cov_2.920103_g10537_i0	831	594.986	6.04592	0.649465
NODE_14766_length_829_cov_2.321705_g10570_i0	829	592.986	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	550.042	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	548.042	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	545.042	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	533.151	0	0
NODE_15814_length_765_cov_2.273239_g11405_i0	765	529.151	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	519.151	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	499.151	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	498.151	3.88853	0.498913
NODE_16406_length_733_cov_2.072271_g11349_i1	733	497.151	9.89389	1.27198
NODE_16407_length_733_cov_2.051622_g11877_i0	733	497.151	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	494.151	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	490.2	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	478.296	5.41456	0.723547
NODE_16934_length_707_cov_2.266871_g11405_i1	707	471.391	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	464.438	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	463.438	65.2671	9.00127
NODE_17339_length_686_cov_1.995246_g12631_i0	686	450.712	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	438.801	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	437.801	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	435.844	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	428.844	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	424.973	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	417.015	0	0
NODE_18145_length_651_cov_2.723154_g13291_i0	651	416.015	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	414.015	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	412.015	9.68546	1.50248
NODE_18329_length_643_cov_2.375850_g13446_i0	643	408.015	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	408.015	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	405.096	1.88267	0.297041
NODE_18772_length_625_cov_2.203509_g13828_i0	625	390.216	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	387.216	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	376.407	4.03467	0.685096
NODE_19273_length_606_cov_2.259528_g14239_i0	606	371.594	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	369.594	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	368.631	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	366.631	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	358.996	14.2574	2.53835
NODE_19756_length_588_cov_4.142589_g14670_i0	588	354.032	1.63382	0.29496
NODE_19903_length_583_cov_2.155303_g14799_i0	583	349.102	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	342.31	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	339.31	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	336.378	6.28141	1.19352
NODE_20274_length_569_cov_1.729572_g15126_i0	569	335.378	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	323.777	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	308.19	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	308.19	15.0312	3.11729
NODE_21160_length_538_cov_1.801242_g15926_i0	538	305.344	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	302.467	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	301.497	1.39717	0.296187
NODE_21399_length_530_cov_1.898947_g16136_i0	530	297.648	0	0
NODE_21460_length_528_cov_2.236786_g16190_i0	528	295.768	3.2955	0.712148
NODE_21516_length_526_cov_1.815287_g16240_i0	526	293.976	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	288.211	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	276.894	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	276.894	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	269.227	0	0
NODE_22415_length_499_cov_2.009009_g17064_i0	499	268.363	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	265.526	0	0
NODE_22554_length_495_cov_2.556818_g17192_i0	495	264.634	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	263.66	9.01214	2.18466
NODE_22793_length_488_cov_2.503464_g17416_i0	488	257.952	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	252.159	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	246.565	0	0
NODE_23329_length_473_cov_1.889952_g17906_i0	473	243.765	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	242.865	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	240.111	1.79926	0.478941
NODE_23684_length_463_cov_2.272059_g18240_i0	463	234.644	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	227.496	1.26173	0.354481
NODE_24141_length_451_cov_2.108586_g18669_i0	451	223.914	0	0
NODE_24251_length_448_cov_2.445293_g18771_i0	448	221.142	0	0
