target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	688.155	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	363.234	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	343.696	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	315.323	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	299.88	1.21628	0.298798
NODE_31136_length_313_cov_2.038760_g25524_i0	313	121.438	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2488.16	8.48457e-05	2.51214e-06
NODE_22308_length_635_cov_107.566667_g3678_i2	635	420.653	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	84.9164	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.723	0	0
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.3608	2	6.89769
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.3608	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.7073	0	0
S68461	1243	1028.16	37.0906	2.65764
S86333	1047	832.155	0	0
TRINITY_DN2174_c0_g1_i1	514	301.819	0	0
TRINITY_DN24794_c0_g1_i1	203	48.8278	0	0
TRINITY_DN12222_c0_g1_i1	252	78.1029	1.30557	1.23147
TRINITY_DN3345_c0_g1_i10	351	151.943	0	0
TRINITY_DN6076_c0_g1_i1	1677	1462.16	17.3767	0.87552
TRINITY_DN8246_c0_g3_i1	265	86.9564	1.48764	1.26034
TRINITY_DN8266_c0_g4_i1	215	55.4868	1.88522	2.50302
TRINITY_DN5643_c0_g1_i5	1083	868.155	19.2882	1.63676
TRINITY_DN26050_c0_g1_i1	215	55.4868	2.35402	3.12544
TRINITY_DN11368_c0_g1_i3	955	740.155	36.0072	3.58392
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5591.16	23.0752	0.304043
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5162.16	179.178	2.55708
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3651.16	43.0756	0.869146
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3388.16	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2546.16	10.8381	0.313588
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1788.16	0.733514	0.03022
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1748.16	11.3869	0.479864
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1638.16	13.9426	0.627018
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1593.16	1.36822	0.0632688
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1498.16	26.5333	1.30475
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1207.16	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1156.16	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1112.16	4.43746	0.293941
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1036.16	20.6898	1.47103
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1025.16	9.10045	0.65398
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1016.16	9.05861	0.656739
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	981.155	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	944.155	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	925.155	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	914.155	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	910.155	0.0965179	0.00781238
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	909.155	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	905.155	1.73473	0.141189
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	872.155	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	865.155	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	857.155	44.5587	3.82969
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	856.155	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	839.155	0	0
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	804.155	5.10873	0.46802
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	794.155	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	782.155	4.94917	0.466156
NODE_12613_length_979_cov_2.230519_g335_i2	979	764.155	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	756.155	2.08786	0.203414
NODE_12757_length_967_cov_1.865132_g9057_i0	967	752.155	1.2951	0.126849
NODE_12841_length_962_cov_2.140022_g2204_i1	962	747.155	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	743.155	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	742.155	1.60593	0.159413
NODE_12913_length_956_cov_2.244173_g9165_i0	956	741.155	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	734.155	3.78362	0.379674
NODE_13012_length_948_cov_2.160134_g2433_i1	948	733.155	8.92404	0.89672
NODE_13144_length_937_cov_2.317460_g9342_i0	937	722.155	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	708.155	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	694.155	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	688.155	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	685.155	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	676.155	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	670.155	15.6549	1.72094
NODE_14125_length_869_cov_2.160934_g2433_i2	869	654.155	1.03525	0.116589
NODE_14174_length_866_cov_1.944513_g9930_i1	866	651.155	0	0
NODE_14727_length_831_cov_2.920103_g10537_i0	831	616.22	6.9205	0.827358
NODE_14766_length_829_cov_2.321705_g10570_i0	829	614.22	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	571.277	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	569.277	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	566.277	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	554.277	9.0816	1.20705
NODE_15814_length_765_cov_2.273239_g11405_i0	765	550.332	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	540.332	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	520.332	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	519.332	12.9856	1.84207
NODE_16406_length_733_cov_2.072271_g11349_i1	733	518.332	7.20527	1.02408
NODE_16407_length_733_cov_2.051622_g11877_i0	733	518.332	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	515.332	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	511.332	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	499.332	3.88177	0.572706
NODE_16934_length_707_cov_2.266871_g11405_i1	707	492.332	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	485.332	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	484.332	58.5176	8.9009
NODE_17339_length_686_cov_1.995246_g12631_i0	686	471.427	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	459.473	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	458.473	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	456.473	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	449.564	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	445.609	6.45728	1.06755
NODE_18131_length_652_cov_1.986600_g13280_i0	652	437.653	0	0
NODE_18145_length_651_cov_2.723154_g13291_i0	651	436.653	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	434.653	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	432.653	6.54662	1.11473
NODE_18329_length_643_cov_2.375850_g13446_i0	643	428.653	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	428.653	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	425.653	4.81744e-05	8.33781e-06
NODE_18772_length_625_cov_2.203509_g13828_i0	625	410.777	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	407.818	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	396.899	0	0
NODE_19273_length_606_cov_2.259528_g14239_i0	606	391.938	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	389.938	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	388.938	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	386.938	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	378.938	6.6767	1.29803
NODE_19756_length_588_cov_4.142589_g14670_i0	588	373.938	2.11125	0.415941
NODE_19903_length_583_cov_2.155303_g14799_i0	583	369.05	1.07707	0.215006
NODE_20074_length_576_cov_2.740883_g14950_i0	576	362.234	0.00229321	0.000466387
NODE_20174_length_573_cov_1.536680_g15035_i0	573	359.342	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	356.45	3.14756	0.65053
NODE_20274_length_569_cov_1.729572_g15126_i0	569	355.485	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	343.696	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	327.999	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	327.999	10.4355	2.34386
NODE_21160_length_538_cov_1.801242_g15926_i0	538	325.065	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	322.227	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	321.227	2.56108	0.587358
NODE_21399_length_530_cov_1.898947_g16136_i0	530	317.259	4.39585	1.02075
NODE_21460_length_528_cov_2.236786_g16190_i0	528	315.323	0	0
NODE_21516_length_526_cov_1.815287_g16240_i0	526	313.354	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	307.667	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	296	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	296	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	288.206	2.31798	0.592514
NODE_22415_length_499_cov_2.009009_g17064_i0	499	287.264	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	284.321	4.50695	1.16779
NODE_22554_length_495_cov_2.556818_g17192_i0	495	283.35	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	282.35	11.1151	2.90013
NODE_22793_length_488_cov_2.503464_g17416_i0	488	276.463	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	270.794	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	265.119	0	0
NODE_23329_length_473_cov_1.889952_g17906_i0	473	262.252	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	261.305	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	258.515	2.75239	0.784359
NODE_23684_length_463_cov_2.272059_g18240_i0	463	252.748	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	245.253	0	0
NODE_24141_length_451_cov_2.108586_g18669_i0	451	241.377	0	0
NODE_24251_length_448_cov_2.445293_g18771_i0	448	238.596	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	237.644	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	223.608	0	0
NODE_24980_length_430_cov_1.616000_g19469_i0	430	221.812	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	219.902	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	215.325	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	212.478	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	210.695	4.26806	1.49234
NODE_25473_length_418_cov_1.831956_g19940_i0	418	210.695	0	0
NODE_25815_length_410_cov_2.169014_g20268_i0	410	203.415	2.2979	0.832221
