target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	671.963	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	348.392	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	328.901	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	301.355	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	285.92	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	115.315	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2471.96	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	405.263	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	80.8434	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.9419	0	0
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.9591	1	3.25087
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.9591	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.6856	3	10.8789
S68461	1243	1011.96	11.4714	0.809214
S86333	1047	815.963	0	0
TRINITY_DN2174_c0_g1_i1	514	287.891	0	0
TRINITY_DN24794_c0_g1_i1	203	47.2992	0	0
TRINITY_DN12222_c0_g1_i1	252	74.8578	1	0.953621
TRINITY_DN3345_c0_g1_i10	351	144.795	0	0
TRINITY_DN6076_c0_g1_i1	1677	1445.96	9.62428	0.475143
TRINITY_DN8246_c0_g3_i1	265	82.5401	2	1.72973
TRINITY_DN8266_c0_g4_i1	215	53.3174	3.37657	4.52084
TRINITY_DN5643_c0_g1_i5	1083	851.963	2.85127	0.238908
TRINITY_DN26050_c0_g1_i1	215	53.3174	2.61514	3.50137
TRINITY_DN11368_c0_g1_i3	955	723.963	71.3137	7.03185
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5574.96	0.000102624	1.31408e-06
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5145.96	135.431	1.87872
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3634.96	146.091	2.86904
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3371.96	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2529.96	12.8631	0.362948
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1771.96	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1731.96	0	0
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1621.96	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1576.96	11.0334	0.499462
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1481.96	16.0968	0.77538
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1190.96	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1139.96	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1095.96	12.7388	0.829746
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1019.96	15.3861	1.07685
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1008.96	12.6327	0.893788
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	999.963	38.1766	2.72538
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	964.963	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	927.963	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	908.963	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	897.963	3.86872	0.307554
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	893.963	8.98451	0.717443
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	892.963	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	888.963	35.9298	2.88525
