target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	680.957	3.54707	0.385789
NODE_20052_length_577_cov_2.128352_g14930_i0	577	356.048	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	336.533	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	308.433	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	293.277	2.90149	0.732727
NODE_31136_length_313_cov_2.038760_g25524_i0	313	116.949	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2480.88	23.0992	0.689588
NODE_22308_length_635_cov_107.566667_g3678_i2	635	413.473	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	81.2995	1	0.910985
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.1305	0	0
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.6246	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.6246	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.4835	0	0
S68461	1243	1020.88	27.2506	1.97696
S86333	1047	824.883	0	0
TRINITY_DN2174_c0_g1_i1	514	295.158	2.27102	0.569856
TRINITY_DN24794_c0_g1_i1	203	46.8973	0	0
TRINITY_DN12222_c0_g1_i1	252	74.9504	0	0
TRINITY_DN3345_c0_g1_i10	351	146.88	0	0
TRINITY_DN6076_c0_g1_i1	1677	1454.88	13.8241	0.703735
TRINITY_DN8246_c0_g3_i1	265	83.305	3	2.66716
TRINITY_DN8266_c0_g4_i1	215	53.0348	0	0
TRINITY_DN5643_c0_g1_i5	1083	860.883	40.2092	3.45924
TRINITY_DN26050_c0_g1_i1	215	53.0348	0	0
TRINITY_DN11368_c0_g1_i3	955	732.957	6.8201	0.689146
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5583.88	1.53945e-08	2.04187e-10
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5154.88	182.314	2.6194
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3643.88	41.1063	0.835495
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3380.88	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2538.88	4.94664	0.1443
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1780.88	24.9444	1.03738
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1740.88	14.5767	0.620138
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1630.88	21.9151	0.995222
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1585.88	0	0
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1490.88	38.1423	1.8948
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1199.88	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1148.88	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1104.88	15.1702	1.01689
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1028.88	17.043	1.22682
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1017.88	3.95237	0.287581
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1008.88	8.94022	0.656307
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	973.883	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	936.883	0	0
