target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	679.498	14.9811	1.63349
NODE_20052_length_577_cov_2.128352_g14930_i0	577	354.844	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	335.119	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	306.659	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	291.349	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	117.844	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2479.5	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	412.275	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	81.8668	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.4083	2	5.83197
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.963	2	7.06869
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.963	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.4016	3	12.0789
S68461	1243	1019.5	15.2109	1.10543
S86333	1047	823.498	0	0
TRINITY_DN2174_c0_g1_i1	514	293.172	2.11314	0.534032
TRINITY_DN24794_c0_g1_i1	203	47.0826	3	4.72087
TRINITY_DN12222_c0_g1_i1	252	75.0973	0	0
TRINITY_DN3345_c0_g1_i10	351	147.23	8.77842	4.41756
TRINITY_DN6076_c0_g1_i1	1677	1453.5	14.7574	0.752243
TRINITY_DN8246_c0_g3_i1	265	83.6775	2.60582	2.30727
TRINITY_DN8266_c0_g4_i1	215	53.5077	0	0
TRINITY_DN5643_c0_g1_i5	1083	859.498	9.48352	0.817498
TRINITY_DN26050_c0_g1_i1	215	53.5077	0	0
TRINITY_DN11368_c0_g1_i3	955	731.498	16.7143	1.69292
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5582.5	0	0
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5153.5	305.561	4.39296
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3642.5	3.22028e-07	6.55023e-09
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3379.5	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2537.5	5.12399	0.149611
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1779.5	23.6939	0.98651
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1739.5	15.8485	0.675035
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1629.5	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1584.5	2.99891	0.140228
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1489.5	43.4267	2.16013
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1198.5	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1147.5	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1103.5	7.81667	0.524822
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1027.5	14.7736	1.06529
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1016.5	11.8656	0.86486
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1007.5	26.1663	1.92425
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	972.498	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	935.498	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	916.498	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	905.498	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	901.498	34.9251	2.87035
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	900.498	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	896.498	13.9465	1.1526
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	863.498	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	856.498	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	848.498	43.0568	3.7597
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	847.498	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	830.498	0	0
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	795.498	0	0
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	785.498	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	773.498	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	755.498	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	747.498	3.47088	0.344026
NODE_12757_length_967_cov_1.865132_g9057_i0	967	743.498	7.75817	0.77311
NODE_12841_length_962_cov_2.140022_g2204_i1	962	738.498	2.43848	0.244642
NODE_12883_length_958_cov_2.720930_g9144_i0	958	734.498	0	0
