target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	671.005	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	347.084	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	327.728	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	299.801	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	284.687	2.36409	0.346296
NODE_31136_length_313_cov_2.038760_g25524_i0	313	113.44	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2470.94	1.05272e-08	1.77666e-10
NODE_22308_length_635_cov_107.566667_g3678_i2	635	404.044	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	79.2417	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	24.7645	9	15.1553
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.7288	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.7288	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.08	0	0
S68461	1243	1010.94	48.295	1.99219
S86333	1047	814.938	0	0
TRINITY_DN2174_c0_g1_i1	514	286.601	10.1614	1.47853
TRINITY_DN24794_c0_g1_i1	203	45.4678	0	0
TRINITY_DN12222_c0_g1_i1	252	73.0012	1	0.571245
TRINITY_DN3345_c0_g1_i10	351	142.469	22.0749	6.46145
TRINITY_DN6076_c0_g1_i1	1677	1444.94	5.49469	0.158579
TRINITY_DN8246_c0_g3_i1	265	81.0297	1.49443	0.769102
TRINITY_DN8266_c0_g4_i1	215	51.8148	0	0
TRINITY_DN5643_c0_g1_i5	1083	850.938	101.057	4.95245
TRINITY_DN26050_c0_g1_i1	215	51.8148	10.8946	8.7682
TRINITY_DN11368_c0_g1_i3	955	722.938	57.7298	3.33005
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5573.94	0.11004	0.000823264
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5144.94	341.99	2.77195
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3633.94	174.51	2.0026
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3370.94	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2528.94	37.7356	0.622251
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1770.94	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1730.94	30.4758	0.73422
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1620.94	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1575.94	25.3064	0.669642
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1480.94	51.4641	1.44917
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1189.94	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1138.94	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1094.94	9.69196	0.369126
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1018.94	16.7582	0.685855
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1007.94	61.1837	2.53136
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	998.938	47.7625	1.99389
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	963.938	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	926.938	5.68371	0.255702
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	907.938	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	896.938	7.77458	0.361465
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	892.938	5.05787	0.23621
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	891.938	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	887.938	4.27701	0.200868
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	854.938	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	847.938	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	839.938	57.4517	2.85238
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	838.938	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	821.938	10.5271	0.534097
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	786.938	12.4861	0.661667
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	776.938	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	764.938	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	746.938	2.86147	0.159756
NODE_12710_length_971_cov_2.359170_g9019_i0	971	738.938	3.74825	0.211531
NODE_12757_length_967_cov_1.865132_g9057_i0	967	734.938	20.6673	1.1727
NODE_12841_length_962_cov_2.140022_g2204_i1	962	729.938	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	725.938	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	724.938	21.3736	1.2295
NODE_12913_length_956_cov_2.244173_g9165_i0	956	723.938	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	716.938	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	715.938	0	0
NODE_13144_length_937_cov_2.317460_g9342_i0	937	704.938	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	690.938	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	677.005	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	671.005	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	668.005	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	659.072	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	653.072	13.8487	0.884302
NODE_14125_length_869_cov_2.160934_g2433_i2	869	637.072	10.6465	0.696902
NODE_14174_length_866_cov_1.944513_g9930_i1	866	634.072	0	0
NODE_14727_length_831_cov_2.920103_g10537_i0	831	599.194	0.00073093	5.08698e-05
NODE_14766_length_829_cov_2.321705_g10570_i0	829	597.194	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	554.252	1.54561	0.116291
NODE_15484_length_784_cov_2.604938_g11135_i0	784	552.252	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	549.252	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	537.252	5.38696	0.418137
NODE_15814_length_765_cov_2.273239_g11405_i0	765	533.252	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	523.41	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	503.513	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	502.513	10.5916	0.878951
NODE_16406_length_733_cov_2.072271_g11349_i1	733	501.513	9.89067	0.822424
NODE_16407_length_733_cov_2.051622_g11877_i0	733	501.513	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	498.513	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	494.563	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	482.563	8.54639	0.738551
NODE_16934_length_707_cov_2.266871_g11405_i1	707	475.563	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	468.611	3.74651e-07	3.33401e-08
NODE_17073_length_699_cov_8.725155_g12409_i0	699	467.611	119.261	10.6357
NODE_17339_length_686_cov_1.995246_g12631_i0	686	454.703	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	442.792	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	441.792	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	439.836	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	432.836	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	428.836	4.33533	0.421582
NODE_18131_length_652_cov_1.986600_g13280_i0	652	420.879	1.3077	0.129569
NODE_18145_length_651_cov_2.723154_g13291_i0	651	419.879	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	417.879	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	415.962	6.87978	0.68972
NODE_18329_length_643_cov_2.375850_g13446_i0	643	411.962	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	411.962	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	408.962	7.29167	0.743526
NODE_18772_length_625_cov_2.203509_g13828_i0	625	394.123	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	391.123	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	380.354	3.36069	0.368462
NODE_19273_length_606_cov_2.259528_g14239_i0	606	375.468	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	373.543	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	372.58	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	370.58	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	362.764	13.6163	1.56526
NODE_19756_length_588_cov_4.142589_g14670_i0	588	357.872	1.75541	0.204552
NODE_19903_length_583_cov_2.155303_g14799_i0	583	352.944	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	346.119	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	343.292	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	340.292	0	0
NODE_20274_length_569_cov_1.729572_g15126_i0	569	339.292	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	327.728	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	312.369	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	312.369	6.99271	0.933532
NODE_21160_length_538_cov_1.801242_g15926_i0	538	309.463	0	0
