target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	663.1	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	340.639	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	321.273	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	293.624	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	278.346	3.12863	0.61947
NODE_31136_length_313_cov_2.038760_g25524_i0	313	110.118	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2463.1	2.35382e-05	5.26674e-07
NODE_22308_length_635_cov_107.566667_g3678_i2	635	397.147	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	76.7655	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	24.177	6	13.6773
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.3652	1	2.70621
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.3652	1.2725	3.44366
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.6319	1	2.95797
S68461	1243	1003.1	15.7162	0.863485
S86333	1047	807.1	0	0
TRINITY_DN2174_c0_g1_i1	514	280.233	9.31448	1.83185
TRINITY_DN24794_c0_g1_i1	203	45.138	4.54408	5.54824
TRINITY_DN12222_c0_g1_i1	252	71.0342	0	0
TRINITY_DN3345_c0_g1_i10	351	138.519	3.39273	1.34987
TRINITY_DN6076_c0_g1_i1	1677	1437.1	16.5395	0.634288
TRINITY_DN8246_c0_g3_i1	265	78.582	2	1.40268
TRINITY_DN8266_c0_g4_i1	215	50.1819	1.24146	1.36344
TRINITY_DN5643_c0_g1_i5	1083	843.1	33.8681	2.21393
TRINITY_DN26050_c0_g1_i1	215	50.1819	2.51519	2.76232
TRINITY_DN11368_c0_g1_i3	955	715.1	32.5481	2.50847
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5566.1	3.20084e-07	3.1693e-09
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5137.1	279.041	2.99365
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3626.1	69.8478	1.06161
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3363.1	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2521.1	13.3978	0.292884
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1763.1	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1723.1	13.5975	0.434911
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1613.1	13.6085	0.464945
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1568.1	10.4254	0.366414
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1473.1	25.5022	0.954104
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1182.1	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1131.1	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1087.1	18.0696	0.916073
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1011.1	9.23212	0.50322
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1000.1	11.148	0.614335
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	991.1	11.4248	0.635302
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	956.1	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	919.1	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	900.1	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	889.1	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	885.1	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	884.1	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	880.1	2.773	0.173647
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	847.1	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	840.1	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	832.1	32.038	2.12197
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	831.1	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	814.1	10.7096	0.725015
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	779.1	0	0
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	769.1	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	757.1	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	739.1	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	731.1	2.87243	0.216532
NODE_12757_length_967_cov_1.865132_g9057_i0	967	727.1	15.072	1.14243
NODE_12841_length_962_cov_2.140022_g2204_i1	962	722.1	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	718.1	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	717.1	14.4828	1.11307
NODE_12913_length_956_cov_2.244173_g9165_i0	956	716.1	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	709.1	2.22712	0.173096
NODE_13012_length_948_cov_2.160134_g2433_i1	948	708.1	15.0339	1.17011
NODE_13144_length_937_cov_2.317460_g9342_i0	937	697.1	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	683.1	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	669.1	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	663.1	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	660.1	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	651.165	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	645.165	6.64638	0.56776
NODE_14125_length_869_cov_2.160934_g2433_i2	869	629.229	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	626.229	0	0
NODE_14727_length_831_cov_2.920103_g10537_i0	831	591.353	15.3982	1.43507
NODE_14766_length_829_cov_2.321705_g10570_i0	829	589.353	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	546.575	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	544.575	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	541.575	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	529.737	0	0
NODE_15814_length_765_cov_2.273239_g11405_i0	765	525.842	6.8414e-06	7.17035e-07
NODE_15990_length_755_cov_1.980000_g11546_i0	755	515.947	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	496.048	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	495.048	12.7543	1.41991
NODE_16406_length_733_cov_2.072271_g11349_i1	733	494.048	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	494.048	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	491.048	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	487.048	4.89234e-05	5.53599e-06
NODE_16790_length_714_cov_1.773900_g12190_i0	714	475.145	0	0
NODE_16934_length_707_cov_2.266871_g11405_i1	707	468.145	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	461.145	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	460.145	80.2207	9.60821
NODE_17339_length_686_cov_1.995246_g12631_i0	686	447.145	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	435.234	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	434.277	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	432.277	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	425.363	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	421.49	2.38357	0.311667
NODE_18131_length_652_cov_1.986600_g13280_i0	652	413.782	6.01537	0.8012
