target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	663.919	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	340.641	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	321.502	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	293.617	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	278.286	1.75682	0.339952
NODE_31136_length_313_cov_2.038760_g25524_i0	313	110.934	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2463.78	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	397.238	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	76.8242	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	23.7973	6	13.577
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.4617	1	2.63172
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.4617	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.3829	1	2.92933
S68461	1243	1003.78	21.2776	1.14147
S86333	1047	807.783	15.573	1.03814
TRINITY_DN2174_c0_g1_i1	514	280.258	5.00461	0.961599
TRINITY_DN24794_c0_g1_i1	203	43.7342	2.13693	2.63118
TRINITY_DN12222_c0_g1_i1	252	70.3614	1	0.765326
TRINITY_DN3345_c0_g1_i10	351	138.82	0	0
TRINITY_DN6076_c0_g1_i1	1677	1437.78	0	0
TRINITY_DN8246_c0_g3_i1	265	78.6582	4	2.7384
TRINITY_DN8266_c0_g4_i1	215	50.1121	3.20166	3.44044
TRINITY_DN5643_c0_g1_i5	1083	843.783	8.57665	0.547353
TRINITY_DN26050_c0_g1_i1	215	50.1121	4.87973	5.24366
TRINITY_DN11368_c0_g1_i3	955	715.783	127.12	9.56342
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5566.78	8.82475e-06	8.53649e-08
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5137.78	292.81	3.06896
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3626.78	60.5955	0.899704
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3363.78	7.50899e-08	1.20208e-09
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2521.78	5.67287	0.121137
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1763.78	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1723.78	20.4156	0.637766
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1613.78	4.65684	0.155391
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1568.78	3.57672	0.122773
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1473.78	24.5171	0.895813
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1182.78	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1131.78	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1087.78	22.3483	1.10633
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1011.78	6.02524	0.320677
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1000.78	29.1412	1.56801
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	991.783	28.3973	1.54185
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	956.783	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	919.783	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	900.783	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	889.783	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	885.783	0	0
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	884.783	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	880.783	113.594	6.94493
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	847.783	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	840.783	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	832.783	35.2447	2.279
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	831.783	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	814.783	7.35077	0.485816
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	779.783	7.57794	0.523309
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	769.783	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	757.783	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	739.783	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	731.783	0	0
NODE_12757_length_967_cov_1.865132_g9057_i0	967	727.783	11.6278	0.86035
NODE_12841_length_962_cov_2.140022_g2204_i1	962	722.783	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	718.783	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	717.783	3.41701	0.25635
NODE_12913_length_956_cov_2.244173_g9165_i0	956	716.783	3.09735	0.232693
NODE_12997_length_949_cov_2.210291_g7770_i1	949	709.783	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	708.783	15.546	1.1811
NODE_13144_length_937_cov_2.317460_g9342_i0	937	697.783	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	683.851	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	669.919	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	663.919	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	660.919	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	651.919	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	645.919	4.4876	0.374125
NODE_14125_length_869_cov_2.160934_g2433_i2	869	629.919	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	626.919	0.146486	0.0125824
NODE_14727_length_831_cov_2.920103_g10537_i0	831	591.919	4.63984	0.422106
NODE_14766_length_829_cov_2.321705_g10570_i0	829	589.919	2.19252	0.200139
NODE_15456_length_786_cov_2.042408_g11112_i0	786	547.033	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	545.033	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	542.033	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	530.033	11.0725	1.12492
NODE_15814_length_765_cov_2.273239_g11405_i0	765	526.138	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	516.19	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	496.241	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	495.241	18.0812	1.96604
NODE_16406_length_733_cov_2.072271_g11349_i1	733	494.241	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	494.241	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	491.241	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	487.241	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	475.338	9.8592	1.11692
NODE_16934_length_707_cov_2.266871_g11405_i1	707	468.385	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	461.478	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	460.478	97.0084	11.3444
NODE_17339_length_686_cov_1.995246_g12631_i0	686	447.615	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	435.748	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	434.748	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	432.748	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	425.791	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	421.791	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	413.874	1.19529	0.15552
NODE_18145_length_651_cov_2.723154_g13291_i0	651	412.874	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	410.874	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	408.874	3.8985	0.513438
NODE_18329_length_643_cov_2.375850_g13446_i0	643	405.037	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	405.037	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	402.078	4.28982	0.574525
NODE_18772_length_625_cov_2.203509_g13828_i0	625	387.553	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	384.591	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	373.895	2.04847	0.295027
NODE_19273_length_606_cov_2.259528_g14239_i0	606	368.932	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	366.932	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	365.932	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	363.969	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	356.186	5.32048	0.804369
NODE_19756_length_588_cov_4.142589_g14670_i0	588	351.328	0	0
NODE_19903_length_583_cov_2.155303_g14799_i0	583	346.468	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	339.675	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	336.743	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	333.776	3.82158	0.61655
NODE_20274_length_569_cov_1.729572_g15126_i0	569	332.81	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	321.502	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	306.102	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	306.102	18.4907	3.25288
NODE_21160_length_538_cov_1.801242_g15926_i0	538	303.194	2.80359	0.497937
