target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	685.666	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	361.377	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	341.833	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	314.043	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	298.444	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	122.973	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2485.6	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	418.711	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	86.2769	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	28.553	2	4.58055
NODE_72602_length_141_cov_1.839623_g68928_i0	141	23.1685	5	14.1128
NODE_72798_length_141_cov_1.386792_g69124_i0	141	23.1685	0.29233	0.825119
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.745	0	0
S68461	1243	1025.6	34.0413	2.17055
S86333	1047	829.596	0	0
TRINITY_DN2174_c0_g1_i1	514	300.383	11.5351	2.51123
TRINITY_DN24794_c0_g1_i1	203	51.9618	14.1464	17.8033
TRINITY_DN12222_c0_g1_i1	252	79.7562	0	0
TRINITY_DN3345_c0_g1_i10	351	152.74	7.18494	3.07616
TRINITY_DN6076_c0_g1_i1	1677	1459.6	13.4875	0.604283
TRINITY_DN8246_c0_g3_i1	265	88.2072	8.54883	6.33787
TRINITY_DN8266_c0_g4_i1	215	58.0416	3	3.38004
TRINITY_DN5643_c0_g1_i5	1083	865.596	0	0
TRINITY_DN26050_c0_g1_i1	215	58.0416	1	1.12668
TRINITY_DN11368_c0_g1_i3	955	737.596	88.4775	7.84431
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5588.6	0.0022943	2.68465e-05
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5159.6	229.878	2.91355
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3648.6	128.109	2.29612
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3385.6	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2543.6	6.04486	0.15541
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1785.6	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1745.6	2.72897	0.102234
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1635.6	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1590.6	16.2581	0.668419
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1495.6	40.256	1.76018
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1204.6	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1153.6	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1109.6	11.8085	0.695935
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1033.6	5.39343	0.341235
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1022.6	12.0612	0.771307
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1013.6	32.3202	2.08521
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	978.596	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	941.596	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	922.596	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	911.596	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	907.596	5.13089e-08	3.69693e-09
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	906.596	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	902.596	0.708064	0.0513003
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	869.596	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	862.596	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	854.596	47.2815	3.61802
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	853.596	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	836.596	6.67597	0.521842
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	801.596	2.55823	0.208701
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	791.596	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	779.596	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	761.596	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	753.596	0	0
NODE_12757_length_967_cov_1.865132_g9057_i0	967	749.596	2.42568	0.211615
NODE_12841_length_962_cov_2.140022_g2204_i1	962	744.596	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	740.596	0.000566249	4.99996e-05
NODE_12894_length_957_cov_2.092018_g8637_i1	957	739.596	12.7172	1.12444
NODE_12913_length_956_cov_2.244173_g9165_i0	956	738.596	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	731.596	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	730.596	3.34977	0.299832
NODE_13144_length_937_cov_2.317460_g9342_i0	937	719.596	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	705.596	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	691.666	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	685.666	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	682.666	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	673.666	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	667.666	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	651.666	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	648.666	9.85398	0.993415
NODE_14727_length_831_cov_2.920103_g10537_i0	831	613.666	4.38785	0.467584
NODE_14766_length_829_cov_2.321705_g10570_i0	829	611.666	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	568.784	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	566.784	0	0
NODE_15556_length_781_cov_2.345730_g6398_i2	781	563.784	3.94177	0.457214
NODE_15744_length_769_cov_2.028011_g11349_i0	769	551.784	6.77787	0.803275
NODE_15814_length_765_cov_2.273239_g11405_i0	765	547.784	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	537.784	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	517.943	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	516.943	9.09595	1.15066
NODE_16406_length_733_cov_2.072271_g11349_i1	733	515.943	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	515.943	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	512.943	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	508.943	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	497.043	0	0
NODE_16934_length_707_cov_2.266871_g11405_i1	707	490.043	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	483.092	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	482.092	38.7034	5.25001
NODE_17339_length_686_cov_1.995246_g12631_i0	686	469.233	0.0819114	0.0114155
NODE_17598_length_674_cov_3.061389_g12836_i0	674	457.28	2.96572	0.424119
NODE_17623_length_673_cov_2.257282_g12858_i0	673	456.28	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	454.28	3.79844	0.546792
NODE_17845_length_664_cov_1.899836_g13041_i0	664	447.325	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	443.325	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	435.37	1.6217	0.243586
NODE_18145_length_651_cov_2.723154_g13291_i0	651	434.413	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	432.456	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	430.5	11.1918	1.70007
NODE_18329_length_643_cov_2.375850_g13446_i0	643	426.542	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	426.542	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	423.585	0	0
NODE_18772_length_625_cov_2.203509_g13828_i0	625	408.836	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	405.836	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	395.035	1.19131	0.197209
NODE_19273_length_606_cov_2.259528_g14239_i0	606	390.075	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	388.075	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	387.075	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	385.113	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	377.227	11.1483	1.93262
NODE_19756_length_588_cov_4.142589_g14670_i0	588	372.303	2.13227	0.374529
NODE_19903_length_583_cov_2.155303_g14799_i0	583	367.377	0.416664	0.0741676
NODE_20074_length_576_cov_2.740883_g14950_i0	576	360.377	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	357.413	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	354.413	2.05423	0.379036
NODE_20274_length_569_cov_1.729572_g15126_i0	569	353.449	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	341.833	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	326.334	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	326.334	28.8292	5.77711
NODE_21160_length_538_cov_1.801242_g15926_i0	538	323.432	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	320.659	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	319.659	4.29688	0.879036
NODE_21399_length_530_cov_1.898947_g16136_i0	530	316.011	0	0
NODE_21460_length_528_cov_2.236786_g16190_i0	528	314.043	0	0
NODE_21516_length_526_cov_1.815287_g16240_i0	526	312.138	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	306.2	0.00681217	0.00145486
NODE_22096_length_508_cov_2.240618_g16769_i0	508	294.564	1.59056	0.353111
NODE_22111_length_508_cov_1.598234_g16782_i0	508	294.564	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	286.798	1.8298	0.417221
NODE_22415_length_499_cov_2.009009_g17064_i0	499	285.798	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	282.913	0	0
NODE_22554_length_495_cov_2.556818_g17192_i0	495	281.97	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	281.084	8.90155	2.07095
NODE_22793_length_488_cov_2.503464_g17416_i0	488	275.45	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	269.781	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	263.998	0	0
NODE_23329_length_473_cov_1.889952_g17906_i0	473	261.264	5.01929	1.25632
NODE_23354_length_472_cov_2.052758_g17929_i0	472	260.291	0	0
