target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	679.913	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	354.995	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	335.447	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	307.345	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	292.128	2.89434	0.540638
NODE_31136_length_313_cov_2.038760_g25524_i0	313	119.176	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2479.91	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	412.451	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	83.6167	5	3.26293
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.7234	3	6.12576
NODE_72602_length_141_cov_1.839623_g68928_i0	141	22.1842	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	22.1842	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.3177	1	2.82472
S68461	1243	1019.91	25.901	1.38575
S86333	1047	823.913	0	0
TRINITY_DN2174_c0_g1_i1	514	294.009	0	0
TRINITY_DN24794_c0_g1_i1	203	49.5331	0	0
TRINITY_DN12222_c0_g1_i1	252	77.2574	0	0
TRINITY_DN3345_c0_g1_i10	351	148.665	11.5617	4.24371
TRINITY_DN6076_c0_g1_i1	1677	1453.91	12.2285	0.45895
TRINITY_DN8246_c0_g3_i1	265	85.5936	1	0.637513
TRINITY_DN8266_c0_g4_i1	215	56.0266	3.72296	3.62597
TRINITY_DN5643_c0_g1_i5	1083	859.913	0	0
TRINITY_DN26050_c0_g1_i1	215	56.0266	4	3.89579
TRINITY_DN11368_c0_g1_i3	955	731.913	8.60841	0.641791
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5582.91	3.2699e-08	3.19598e-10
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5153.91	190.679	2.01882
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3642.91	178.316	2.67099
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3379.91	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2537.91	6.11693	0.131519
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1779.91	27.9385	0.856514
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1739.91	15.3008	0.479864
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1629.91	18.0516	0.604342
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1584.91	4.77211	0.164299
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1489.91	48.7306	1.78472
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1198.91	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1147.91	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1103.91	5.51565	0.272641
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1027.91	14.9671	0.794533
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1016.91	9.55376	0.51265
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1007.91	39.9709	2.16397
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	972.913	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	935.913	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	916.913	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	905.913	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	901.913	38.3106	2.31785
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	900.913	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	896.913	0	0
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	863.913	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	856.913	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	848.913	23.1535	1.48828
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	847.913	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	830.913	9.72574	0.6387
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	795.913	0	0
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	785.913	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	773.913	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	755.913	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	747.913	0	0
NODE_12757_length_967_cov_1.865132_g9057_i0	967	743.913	4.76497	0.349517
NODE_12841_length_962_cov_2.140022_g2204_i1	962	738.913	0	0
NODE_12883_length_958_cov_2.720930_g9144_i0	958	734.913	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	733.913	12.2952	0.914159
NODE_12913_length_956_cov_2.244173_g9165_i0	956	732.913	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	725.913	3.13228	0.235454
NODE_13012_length_948_cov_2.160134_g2433_i1	948	724.913	15.8384	1.19222
NODE_13144_length_937_cov_2.317460_g9342_i0	937	713.913	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	699.913	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	685.913	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	679.913	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	676.913	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	667.913	3.67751	0.300444
NODE_13899_length_885_cov_2.481928_g559_i4	885	661.913	0	0
NODE_14125_length_869_cov_2.160934_g2433_i2	869	645.913	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	642.913	0	0
NODE_14727_length_831_cov_2.920103_g10537_i0	831	607.913	10.1214	0.908507
NODE_14766_length_829_cov_2.321705_g10570_i0	829	605.913	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	562.913	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	560.913	0.000110924	1.0791e-05
NODE_15556_length_781_cov_2.345730_g6398_i2	781	557.913	7.11049	0.695445
NODE_15744_length_769_cov_2.028011_g11349_i0	769	545.913	8.95873	0.895475
NODE_15814_length_765_cov_2.273239_g11405_i0	765	541.913	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	531.913	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	511.964	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	510.964	12.3046	1.31404
NODE_16406_length_733_cov_2.072271_g11349_i1	733	509.964	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	509.964	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	506.964	0	0
