target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	668.408	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	344.969	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	325.473	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	297.6	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	282.593	4.06079	0.840867
NODE_31136_length_313_cov_2.038760_g25524_i0	313	112.762	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2468.41	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	401.691	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	78.4279	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.1245	8	17.9192
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.888	0	0
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.888	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.4347	0	0
S68461	1243	1008.41	8.21715	0.476829
S86333	1047	812.408	0	0
TRINITY_DN2174_c0_g1_i1	514	284.335	6.52249	1.34234
TRINITY_DN24794_c0_g1_i1	203	45.6375	0	0
TRINITY_DN12222_c0_g1_i1	252	72.735	4.14001	3.3307
TRINITY_DN3345_c0_g1_i10	351	141.063	4.21056	1.74664
TRINITY_DN6076_c0_g1_i1	1677	1442.41	26.1484	1.0608
TRINITY_DN8246_c0_g3_i1	265	80.2201	2.4443	1.78299
TRINITY_DN8266_c0_g4_i1	215	52.1846	1.20555	1.35183
TRINITY_DN5643_c0_g1_i5	1083	848.408	64.944	4.47932
TRINITY_DN26050_c0_g1_i1	215	52.1846	6.14189	6.88712
TRINITY_DN11368_c0_g1_i3	955	720.408	9.37072	0.761154
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5571.41	31.6719	0.332649
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5142.41	158.257	1.80083
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3631.41	160.896	2.59267
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3368.41	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2526.41	11.0134	0.255091
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1768.41	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1728.41	17.4009	0.58912
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1618.41	7.21946	0.261033
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1573.41	0	0
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1478.41	68.6366	2.71668
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1187.41	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1136.41	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1092.41	1.94573	0.104226
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1016.41	23.2374	1.33782
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1005.41	29.774	1.7329
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	996.408	49.8031	2.92481
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	961.408	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	924.408	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	905.408	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	894.408	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	890.408	14.4323	0.948472
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	889.408	0	0
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	885.408	102.802	6.79419
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	852.408	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	845.408	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	837.408	73.4429	5.13205
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	836.408	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	819.408	4.22013	0.301372
