target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	679.74	10.9995	0.91606
NODE_20052_length_577_cov_2.128352_g14930_i0	577	355.538	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	335.956	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	307.866	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	292.409	18.9668	3.67194
NODE_31136_length_313_cov_2.038760_g25524_i0	313	119.026	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2479.74	2.18296e-08	4.98349e-10
NODE_22308_length_635_cov_107.566667_g3678_i2	635	412.546	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	83.6808	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.4766	1	2.22205
NODE_72602_length_141_cov_1.839623_g68928_i0	141	20.7388	6	16.378
NODE_72798_length_141_cov_1.386792_g69124_i0	141	20.7388	1	2.72967
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.2537	0	0
S68461	1243	1019.74	70.9807	3.94044
S86333	1047	823.74	0	0
TRINITY_DN2174_c0_g1_i1	514	294.321	0.743059	0.142921
TRINITY_DN24794_c0_g1_i1	203	48.5593	0	0
TRINITY_DN12222_c0_g1_i1	252	77.5104	0	0
TRINITY_DN3345_c0_g1_i10	351	148.202	9.07024	3.46464
TRINITY_DN6076_c0_g1_i1	1677	1453.74	21.1705	0.8244
TRINITY_DN8246_c0_g3_i1	265	85.8041	7.94809	5.24384
TRINITY_DN8266_c0_g4_i1	215	55.6113	3.14629	3.20281
TRINITY_DN5643_c0_g1_i5	1083	859.74	50.4973	3.32503
TRINITY_DN26050_c0_g1_i1	215	55.6113	4.42835	4.50789
TRINITY_DN11368_c0_g1_i3	955	731.74	138.196	10.6914
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5582.74	1.25133e-07	1.26888e-09
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5153.74	203.079	2.23068
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3642.74	93.8406	1.45833
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3379.74	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2537.74	34.3876	0.767095
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1779.74	5.85951e-05	1.8638e-06
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1739.74	9.23182	0.300398
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1629.74	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1584.74	4.55504	0.162715
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1489.74	64.3146	2.44395
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1198.74	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1147.74	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1103.74	10.7146	0.549542
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1027.74	13.207	0.727471
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1016.74	8.85989	0.493302
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1007.74	26.5095	1.48918
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	972.74	0	0
