target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	686.048	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	361.072	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	341.386	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	313.199	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	297.656	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	120.181	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2485.97	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	418.422	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	83.4019	3	2.24587
NODE_66478_length_154_cov_1.168067_g62804_i0	154	25.7056	1	2.42891
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.522	1	2.90107
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.522	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.3474	2	6.80605
S68461	1243	1025.97	0	0
S86333	1047	829.974	0	0
TRINITY_DN2174_c0_g1_i1	514	299.506	5.21949	1.08809
TRINITY_DN24794_c0_g1_i1	203	48.0603	5.36338	6.96773
TRINITY_DN12222_c0_g1_i1	252	76.8072	1.42592	1.15913
TRINITY_DN3345_c0_g1_i10	351	150.676	0	0
TRINITY_DN6076_c0_g1_i1	1677	1459.97	6.47728	0.277005
TRINITY_DN8246_c0_g3_i1	265	85.4195	5	3.65471
TRINITY_DN8266_c0_g4_i1	215	54.191	4.50649	5.19219
TRINITY_DN5643_c0_g1_i5	1083	865.974	24.8512	1.79177
TRINITY_DN26050_c0_g1_i1	215	54.191	0	0
TRINITY_DN11368_c0_g1_i3	955	737.974	32.9878	2.79095
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5588.97	1.88022	0.0210047
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5159.97	189.475	2.29268
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3648.97	0.104408	0.0017865
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3385.97	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2543.97	7.06276	0.173341
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1785.97	0	0
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1745.97	5.89985	0.210981
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1635.97	15.9221	0.607662
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1590.97	0	0
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1495.97	25.1347	1.04903
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1204.97	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1153.97	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1109.97	4.1232	0.231932
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1033.97	10.0873	0.609123
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1022.97	8.04058	0.490752
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1013.97	3.44845	0.212342
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	978.974	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	941.974	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	922.974	0	0
NODE_10893_length_1129_cov_2.371508_g7638_i0	1129	911.974	0	0
NODE_10939_length_1125_cov_2.813084_g7674_i0	1125	907.974	32.7284	2.25057
NODE_10955_length_1124_cov_2.362956_g7687_i0	1124	906.974	4.22352	0.29075
NODE_10994_length_1120_cov_1.648826_g7716_i0	1120	902.974	0	0
NODE_11330_length_1087_cov_2.938953_g7955_i0	1087	869.974	0	0
NODE_11413_length_1080_cov_1.724878_g7991_i1	1080	862.974	0	0
NODE_11510_length_1072_cov_4.470993_g8091_i0	1072	854.974	11.8902	0.868314
NODE_11529_length_1071_cov_3.061024_g7597_i1	1071	853.974	0	0
NODE_11724_length_1054_cov_1.712713_g8244_i0	1054	836.974	0	0
NODE_12154_length_1019_cov_1.675311_g8581_i0	1019	801.974	0	0
NODE_12279_length_1009_cov_2.056604_g7656_i1	1009	791.974	0	0
NODE_12402_length_997_cov_2.066879_g8778_i0	997	779.974	0	0
NODE_12613_length_979_cov_2.230519_g335_i2	979	761.974	0	0
NODE_12710_length_971_cov_2.359170_g9019_i0	971	753.974	3.06284	0.253634
NODE_12757_length_967_cov_1.865132_g9057_i0	967	749.974	5.02139	0.41804
NODE_12841_length_962_cov_2.140022_g2204_i1	962	744.974	1.54438	0.129436
NODE_12883_length_958_cov_2.720930_g9144_i0	958	740.974	0	0
NODE_12894_length_957_cov_2.092018_g8637_i1	957	739.974	5.13882	0.433597
NODE_12913_length_956_cov_2.244173_g9165_i0	956	738.974	0	0
NODE_12997_length_949_cov_2.210291_g7770_i1	949	732.048	0	0
NODE_13012_length_948_cov_2.160134_g2433_i1	948	731.048	2.75887	0.235627
NODE_13144_length_937_cov_2.317460_g9342_i0	937	720.048	0	0
NODE_13340_length_923_cov_2.193548_g9480_i0	923	706.048	0	0
NODE_13554_length_909_cov_2.182670_g174_i2	909	692.048	0	0
NODE_13648_length_903_cov_2.169811_g174_i3	903	686.048	0	0
NODE_13677_length_900_cov_2.279290_g9733_i0	900	683.048	0	0
NODE_13798_length_891_cov_2.092105_g8236_i2	891	674.048	0	0
NODE_13899_length_885_cov_2.481928_g559_i4	885	668.048	6.20933	0.580333
NODE_14125_length_869_cov_2.160934_g2433_i2	869	652.048	0	0
NODE_14174_length_866_cov_1.944513_g9930_i1	866	649.048	16.5095	1.58817
NODE_14727_length_831_cov_2.920103_g10537_i0	831	614.048	10.5085	1.0685
NODE_14766_length_829_cov_2.321705_g10570_i0	829	612.048	0	0
NODE_15456_length_786_cov_2.042408_g11112_i0	786	569.048	0	0
NODE_15484_length_784_cov_2.604938_g11135_i0	784	567.048	1.09796	0.120895
NODE_15556_length_781_cov_2.345730_g6398_i2	781	564.048	0	0
NODE_15744_length_769_cov_2.028011_g11349_i0	769	552.048	12.4552	1.40869
NODE_15814_length_765_cov_2.273239_g11405_i0	765	548.048	0	0
NODE_15990_length_755_cov_1.980000_g11546_i0	755	538.048	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	518.102	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	517.102	9.41596	1.13692
NODE_16406_length_733_cov_2.072271_g11349_i1	733	516.102	8.5142	1.03003
NODE_16407_length_733_cov_2.051622_g11877_i0	733	516.102	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	513.153	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	509.153	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	497.153	2.47877	0.311305
NODE_16934_length_707_cov_2.266871_g11405_i1	707	490.153	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	483.153	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	482.153	65.7534	8.51477
NODE_17339_length_686_cov_1.995246_g12631_i0	686	469.2	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	457.2	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	456.2	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	454.2	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	447.29	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	443.335	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	435.378	2.42665	0.348001
NODE_18145_length_651_cov_2.723154_g13291_i0	651	434.378	0	0
NODE_18201_length_649_cov_1.909091_g13339_i0	649	432.422	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	430.422	4.31269	0.625596
NODE_18329_length_643_cov_2.375850_g13446_i0	643	426.422	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	426.422	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	423.422	5.59626	0.82521
NODE_18772_length_625_cov_2.203509_g13828_i0	625	408.463	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	405.463	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	394.622	0	0
NODE_19273_length_606_cov_2.259528_g14239_i0	606	389.662	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	387.662	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	386.662	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	384.662	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	376.813	5.53343	0.916871
NODE_19756_length_588_cov_4.142589_g14670_i0	588	371.888	2.3836	0.400185
NODE_19903_length_583_cov_2.155303_g14799_i0	583	366.962	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	360.072	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	357.144	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	354.144	0	0
NODE_20274_length_569_cov_1.729572_g15126_i0	569	353.144	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	341.386	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	325.717	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	325.717	1.34825	0.258445
NODE_21160_length_538_cov_1.801242_g15926_i0	538	322.847	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	319.944	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	318.944	0	0
NODE_21399_length_530_cov_1.898947_g16136_i0	530	315.199	8.24162	1.63256
NODE_21460_length_528_cov_2.236786_g16190_i0	528	313.199	3.21188	0.640293
NODE_21516_length_526_cov_1.815287_g16240_i0	526	311.23	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	305.385	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	293.805	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	293.805	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	286.038	0	0
NODE_22415_length_499_cov_2.009009_g17064_i0	499	285.096	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	282.182	1.4537	0.321652
NODE_22554_length_495_cov_2.556818_g17192_i0	495	281.239	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	280.239	1.98531	0.442323
NODE_22793_length_488_cov_2.503464_g17416_i0	488	274.518	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	268.71	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	263.192	1.69424	0.401922
NODE_23329_length_473_cov_1.889952_g17906_i0	473	260.403	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	259.482	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	256.718	1.19347	0.290264
NODE_23684_length_463_cov_2.272059_g18240_i0	463	251.002	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	243.504	0	0
NODE_24141_length_451_cov_2.108586_g18669_i0	451	239.824	0.811663	0.211311
NODE_24251_length_448_cov_2.445293_g18771_i0	448	236.994	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	236.042	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	221.994	0	0
NODE_24980_length_430_cov_1.616000_g19469_i0	430	220.153	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	218.355	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	213.709	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	210.949	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	209.036	6.67674	1.99427
NODE_25473_length_418_cov_1.831956_g19940_i0	418	209.036	0	0
NODE_25815_length_410_cov_2.169014_g20268_i0	410	201.818	6.39622	1.9788
NODE_25957_length_407_cov_1.633523_g20410_i0	407	199.066	0	0
NODE_26000_length_406_cov_1.407407_g20451_i0	406	198.189	0	0
NODE_26498_length_395_cov_2.008824_g20935_i0	395	188.288	0	0
NODE_26536_length_394_cov_1.616519_g20972_i0	394	187.445	0	0
NODE_26685_length_391_cov_1.351190_g21119_i0	391	184.793	0	0
NODE_26758_length_389_cov_2.047904_g21189_i0	389	182.985	0	0
NODE_26932_length_385_cov_2.081818_g21359_i0	385	179.628	1.06724	0.37096
NODE_26941_length_385_cov_1.887879_g21368_i0	385	179.628	0	0
NODE_27041_length_383_cov_1.896341_g21465_i0	383	177.871	0	0
NODE_27160_length_380_cov_2.267692_g21582_i0	380	175.187	0	0
NODE_27218_length_379_cov_1.700617_g21637_i0	379	174.315	0	0
NODE_27571_length_372_cov_1.981073_g21985_i0	372	168.469	0	0
NODE_27665_length_370_cov_1.812698_g22078_i0	370	166.753	0	0
NODE_27963_length_365_cov_1.645161_g22371_i0	365	162.277	0	0
NODE_28291_length_359_cov_2.299342_g22692_i0	359	157.421	3.62512	1.43781
NODE_28765_length_351_cov_2.351351_g23163_i0	351	150.676	0	0
NODE_28791_length_351_cov_1.692568_g23189_i0	351	150.676	0	0
NODE_29263_length_342_cov_2.505226_g23660_i0	342	143.322	0	0
NODE_29265_length_342_cov_2.369338_g23662_i0	342	143.322	0	0
NODE_29784_length_334_cov_2.017921_g24178_i0	334	136.72	0.294884	0.134666
NODE_29812_length_334_cov_1.401434_g24206_i0	334	136.72	1.4982	0.684191
NODE_29856_length_333_cov_1.956835_g24250_i0	333	135.916	0	0
NODE_29920_length_332_cov_1.935018_g24314_i0	332	135.05	0	0
NODE_29993_length_331_cov_1.590580_g24387_i0	331	134.333	0	0
NODE_30262_length_326_cov_3.132841_g24654_i0	326	130.406	4.25094	2.03529
NODE_30412_length_324_cov_2.066914_g24803_i0	324	128.724	0	0
NODE_30646_length_321_cov_1.917293_g25037_i0	321	126.426	1.73292	0.855822
NODE_30728_length_320_cov_1.532075_g25118_i0	320	125.582	0	0
NODE_30783_length_319_cov_1.405303_g25173_i0	319	124.737	0	0
NODE_31095_length_314_cov_1.521236_g25483_i0	314	120.892	0	0
NODE_31166_length_313_cov_1.151163_g25554_i0	313	120.181	0	0
NODE_31302_length_311_cov_1.640625_g25690_i0	311	118.74	0	0
NODE_31912_length_302_cov_1.659919_g26298_i0	302	112.078	0	0
NODE_32115_length_299_cov_2.450820_g26500_i0	299	109.819	0	0
NODE_32298_length_297_cov_1.764463_g26683_i0	297	108.281	0	0
NODE_32886_length_289_cov_1.662393_g27271_i0	289	102.251	2.01935	1.23306
NODE_33378_length_283_cov_1.614035_g27763_i0	283	97.8779	0	0
NODE_34767_length_266_cov_3.497630_g29151_i0	266	86.208	0	0
NODE_35557_length_258_cov_1.709360_g29939_i0	258	80.5714	0	0
NODE_35667_length_257_cov_1.524752_g30049_i0	257	79.9466	0	0
NODE_41633_length_204_cov_1.684564_g36013_i0	204	48.6171	2.54094	3.26322
NODE_698_length_4521_cov_32.141329_g540_i0	4521	4303.97	278.261	4.03666
NODE_3725_length_2540_cov_15.145309_g3014_i0	2540	2322.97	0	0
NODE_6305_length_1935_cov_23.545789_g1455_i1	1935	1717.97	6.85425	0.249105
NODE_7343_length_1766_cov_3.712305_g493_i2	1766	1548.97	16.0401	0.646549
NODE_14826_length_995_cov_6.104167_g6769_i1	995	777.974	0	0
NODE_16309_length_902_cov_2.226067_g4634_i1	902	685.048	2.13329	0.194432
NODE_16854_length_869_cov_58.675060_g14026_i0	869	652.048	22.7506	2.17848
NODE_19534_length_741_cov_459.181303_g9409_i1	741	524.102	2.92797	0.348812
NODE_28650_length_465_cov_305.437209_g25029_i0	465	252.95	2.62213	0.647229
NODE_29866_length_442_cov_16.280098_g26227_i0	442	231.233	0	0
NODE_34012_length_372_cov_1.433234_g30342_i0	372	168.469	1	0.370612
NODE_46101_length_244_cov_1.363636_g42427_i0	244	71.8012	9.80923	8.52988
NODE_47061_length_237_cov_1.767327_g43387_i0	237	67.449	1	0.925687
NODE_48124_length_230_cov_1.830769_g44450_i0	230	63.3188	8	7.88855
S72545	674	457.2	1.19377	0.163025
S91058	671	454.2	0	0
S95076	415	206.335	21.7138	6.57059
S110975	409	200.88	0	0
S124854	293	105.307	2	1.1858
S135682	285	99.3124	6.48968	4.07999
S160639	536	320.847	3.50389	0.681855
S183767	299	109.819	3.96179	2.25244
S204690	584	367.962	14.8058	2.51228
S231095	517	302.415	4.76201	0.983165
S331410	612	395.583	5.46897	0.863192
S375275	381	176.15	0.273268	0.0968604
S388396	423	213.709	2.65982	0.777086
S430403	414	205.398	0	0
S439102	1414	1196.97	15.3743	0.801957
S510438	434	223.835	1.44588	0.403314
S616149	311	118.74	4	2.10331
S664596	1155	937.974	30.1347	2.00593
S664995	781	564.048	2.39879	0.265531
S665376	1053	835.974	0	0
S665579	303	112.816	0	0
S665820	1555	1337.97	15.9937	0.746345
S666550	2168	1950.97	0	0
S666938	736	519.102	16.4705	1.98104
S668958	1000	782.974	0	0
S669034	496	282.182	0	0
S669148	1606	1388.97	3.10153	0.139419
S669802	889	672.048	1.23487	0.114726
S669921	963	745.974	0	0
S670874	1492	1274.97	0	0
S672583	1246	1028.97	3.59985	0.218434
S672879	535	319.944	333.672	65.1157
S673566	777	560.048	9.89955	1.10365
S673877	1101	883.974	0	0
S675467	956	738.974	0	0
S675669	2200	1982.97	10.6262	0.334579
S676031	337	139.22	0	0
S676442	1050	832.974	10.4855	0.785957
S676827	432	221.994	2.98052	0.838283
S678126	620	403.463	149.201	23.0892
S678248	2707	2489.97	35.9986	0.902673
S679063	394	187.445	0	0
S679446	693	476.153	0	0
S679633	845	628.048	0	0
S680382	358	156.471	8.5577	3.41478
S680833	1094	876.974	2.38966	0.170133
S681233	416	207.228	3.0472	0.918103
S681799	837	620.048	0	0
S681915	1094	876.974	35.5811	2.53322
S682895	965	747.974	1.70336	0.142187
S683084	531	316.199	7.10418	1.40279
S685081	1664	1446.97	0	0
S686407	388	182.042	2.96154	1.01575
S687538	555	339.386	0	0
S687880	283	97.8779	0	0
S688251	1365	1147.97	9.08697	0.494227
S688548	1326	1108.97	25.1963	1.41859
S689160	395	188.288	0	0
S689286	969	751.974	2.97299	0.246848
S689525	744	527.102	13.2459	1.56901
S689657	1332	1114.97	35.0397	1.96216
S690306	817	600.048	2.86528	0.298141
S691387	1792	1574.97	5.86476	0.232497
S691635	1184	966.974	6.87127	0.443672
S691770	1987	1769.97	4.32742	0.152652
S691980	1415	1197.97	1.23194	0.064207
S692383	404	196.434	13.7162	4.3597
S692559	3023	2805.97	45.685	1.01655
S692603	903	686.048	0	0
S693106	991	773.974	4.14085	0.334043
S693388	437	226.537	1.35103	0.372363
S694312	413	204.546	0	0
S697349	1371	1153.97	4.02615	0.217838
S698790	670	453.2	7.44091	1.02512
S700200	1706	1488.97	12.8485	0.53877
S701905	807	590.048	11.2365	1.189
S702814	2561	2343.97	65.0627	1.73308
S703230	956	738.974	15.2361	1.28731
S703238	635	418.422	0	0
S705925	2132	1914.97	3.87583	0.126369
S706108	3337	3119.97	55.738	1.11542
S707192	5954	5736.97	53.0695	0.577567
S707471	846	629.048	5.10711	0.506911
J664606	1896	1678.97	7.08083	0.263318
J664705	792	575.048	0	0
J664749	1245	1027.97	0	0
J664958	1282	1064.97	0	0
J665417	921	704.048	7.85656	0.696739
J665482	1002	784.974	14.1469	1.12524
J665726	266	86.208	2.27019	1.6442
J665909	1762	1544.97	0.0216533	0.000875068
J667033	778	561.048	5.45817	0.607417
J667377	370	166.753	3.42463	1.28227
J667537	1730	1512.97	48.4641	1.99999
J667539	2315	2097.97	2.15183	0.0640394
J667793	1702	1484.97	0	0
J667984	1117	899.974	5.10625	0.354252
J668464	1792	1574.97	0	0
J668560	1582	1364.97	3.29596	0.150764
J668573	1947	1729.97	12.3943	0.447324
J668805	740	523.102	16.5155	1.97127
J669603	1604	1386.97	0	0
J669748	338	140.128	1.78123	0.793657
J669971	1458	1240.97	0	0
J670222	349	149.08	0	0
J670309	1434	1216.97	6.23482	0.319877
J671295	342	143.322	0	0
J671371	2878	2660.97	0	0
J671452	3071	2853.97	36.5109	0.798752
J671504	898	681.048	66.1075	6.06056
