target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	675.748	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	351.871	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	332.421	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	304.719	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	289.68	0	0
NODE_31136_length_313_cov_2.038760_g25524_i0	313	118.327	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2475.47	0	0
NODE_22308_length_635_cov_107.566667_g3678_i2	635	408.508	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	83.1126	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.1668	6	16.0302
NODE_72602_length_141_cov_1.839623_g68928_i0	141	21.6455	1	3.22977
NODE_72798_length_141_cov_1.386792_g69124_i0	141	21.6455	0.603946	1.95061
NODE_74726_length_131_cov_2.072917_g71052_i0	131	19.0094	1	3.67765
S68461	1243	1015.47	50.4568	3.47369
S86333	1047	819.473	0	0
TRINITY_DN2174_c0_g1_i1	514	291.533	5.52258	1.32432
TRINITY_DN24794_c0_g1_i1	203	48.4821	4.4073	6.35522
TRINITY_DN12222_c0_g1_i1	252	77.0143	2	1.8155
TRINITY_DN3345_c0_g1_i10	351	147.459	0	0
TRINITY_DN6076_c0_g1_i1	1677	1449.47	1.92555	0.0928715
TRINITY_DN8246_c0_g3_i1	265	85.0948	4.3447	3.5694
TRINITY_DN8266_c0_g4_i1	215	54.9489	3.4251	4.35766
TRINITY_DN5643_c0_g1_i5	1083	855.473	56.6039	4.62572
TRINITY_DN26050_c0_g1_i1	215	54.9489	2	2.54454
TRINITY_DN11368_c0_g1_i3	955	727.473	77.9227	7.48835
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5578.47	24.087	0.301861
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5149.47	92.9277	1.2616
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3638.47	74.5458	1.43233
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3375.47	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2533.47	11.6641	0.321866
