target_id	length	eff_length	est_counts	tpm
NODE_13645_length_903_cov_2.712264_g9648_i1	903	677.049	0	0
NODE_20052_length_577_cov_2.128352_g14930_i0	577	353.639	0	0
NODE_20615_length_557_cov_1.711155_g15432_i0	557	334.124	0	0
NODE_21447_length_528_cov_2.926004_g15190_i1	528	306.318	0	0
NODE_21968_length_512_cov_3.109409_g16652_i0	512	291.015	8.46435	2.02941
NODE_31136_length_313_cov_2.038760_g25524_i0	313	117.933	0	0
NODE_3190_length_2703_cov_79.404798_g2480_i1	2703	2477.05	7.52681e-08	2.12016e-09
NODE_22308_length_635_cov_107.566667_g3678_i2	635	410.3	0	0
NODE_43821_length_262_cov_1.396476_g40147_i0	262	83.1496	0	0
NODE_66478_length_154_cov_1.168067_g62804_i0	154	26.6591	4	10.469
NODE_72602_length_141_cov_1.839623_g68928_i0	141	22.1704	1	3.14715
NODE_72798_length_141_cov_1.386792_g69124_i0	141	22.1704	0	0
NODE_74726_length_131_cov_2.072917_g71052_i0	131	18.8676	2	7.39613
S68461	1243	1017.05	26.9572	1.84938
S86333	1047	821.049	0	0
TRINITY_DN2174_c0_g1_i1	514	292.927	7.26684	1.73093
TRINITY_DN24794_c0_g1_i1	203	48.5702	0	0
TRINITY_DN12222_c0_g1_i1	252	76.8274	1.30295	1.18333
TRINITY_DN3345_c0_g1_i10	351	147.441	0	0
TRINITY_DN6076_c0_g1_i1	1677	1451.05	26.294	1.26435
TRINITY_DN8246_c0_g3_i1	265	85.0933	4	3.27987
TRINITY_DN8266_c0_g4_i1	215	54.9496	4.56136	5.79191
TRINITY_DN5643_c0_g1_i5	1083	857.049	35.7907	2.91378
TRINITY_DN26050_c0_g1_i1	215	54.9496	5.53974	7.03423
TRINITY_DN11368_c0_g1_i3	955	729.049	3.5303	0.337868
NODE_143_length_5806_cov_5.503738_g87_i2	5806	5580.05	8.22245e-06	1.02815e-07
NODE_224_length_5377_cov_4.450395_g98_i1	5377	5151.05	235.443	3.1892
NODE_811_length_3866_cov_4.121228_g528_i1	3866	3640.05	71.887	1.37796
NODE_1057_length_3603_cov_2.894307_g658_i1	3603	3377.05	0	0
NODE_2276_length_2761_cov_3.366593_g1543_i0	2761	2535.05	6.09653	0.167799
NODE_4645_length_2003_cov_3.076489_g3225_i0	2003	1777.05	7.33467	0.287987
NODE_4814_length_1963_cov_4.537212_g504_i3	1963	1737.05	17.3847	0.698309
NODE_5378_length_1853_cov_2.403226_g3731_i0	1853	1627.05	0	0
NODE_5587_length_1808_cov_2.501997_g729_i3	1808	1582.05	7.59549	0.334987
NODE_6150_length_1713_cov_2.774427_g4273_i0	1713	1487.05	42.7784	2.00721
NODE_8146_length_1422_cov_12.163862_g1061_i4	1422	1196.05	0	0
NODE_8581_length_1371_cov_2.006079_g6015_i0	1371	1145.05	0	0
NODE_8991_length_1327_cov_2.102201_g6316_i0	1327	1101.05	12.9707	0.821957
NODE_9737_length_1251_cov_2.357860_g6817_i0	1251	1025.05	1.86822	0.127167
NODE_9844_length_1240_cov_3.033755_g6836_i1	1240	1014.05	4.08347	0.280971
NODE_9920_length_1231_cov_2.914966_g6925_i1	1231	1005.05	19.9451	1.38465
NODE_10244_length_1196_cov_1.975460_g7186_i0	1196	970.049	0	0
NODE_10600_length_1159_cov_2.541667_g559_i3	1159	933.049	0	0
NODE_10771_length_1140_cov_2.450691_g7552_i0	1140	914.049	0	0
